POND #,PONDNAME,DATE,"LONG (NAD83,DD)","LAT (NAD83,DD)",SO4 (mg L-1),NO3 (mg L-1),Cl (mg L-1),F (mg L-1),ANC (µeq L-1),DIC (mg L-1),DOC (mg L-1),TOTAL P1 (mg L-1),TOTAL P2 (mg L-1),SIO2 (mg L-1),Ca (mg L-1),Mg (mg L-1),Na (mg L-1),K (mg L-1),NH4 (mg L-1),TDAl (µg L-1),TAl (µg L-1),Fe (mg L-1),Mn (mg L-1),Pb (mg L-1),Zn (mg L-1),FIELDPH,LAB_pH,AIR_EQ_pH,TRUCOLOR (PtCo),SCONDUCT (µmhos cm-1)
020006A,LAKE ROXANNE,7/17/1986,73.80570278,44.90170556,7.53,0.18,15.03,0.05,1114,12.86,5.1,0.028,,2.2,16.11,4.18,7.5,1.4,0.07,29,,0.153,0.024,0,0,8.03,8.94,8.24,30,162.4
020008,MOON POND,7/16/1986,73.85070278,44.85031944,4.07,0.04,0.61,0.034,981.2,12.86,7.1,0.026,,3.2,13.22,3.36,1.13,0.42,0,37,,0.253,0.006,0,0,6.86,7.59,8.91,40,106.5
020011,KIWANIS LAKE,7/11/1985,73.65625278,44.80226111,6.76,,0.95,0.046,1042.2,13.11,5.3,0.032,,3.2,15.03,4.99,0.78,0.75,0,,43,0.153,0.053,0,0.006,7.52,7.64,7.94,30,
020012,UNNAMED POND,7/18/1986,73.65153056,44.77420833,4.47,0,0.49,0.032,421,7.18,8.9,0.488,0.45,2.2,7.08,1.92,0.6,0.75,0.09,48,,0.136,0.056,0,0,6.31,6.65,7.64,100,53
020021,MUD POND,7/16/1986,73.85125556,44.75504167,3.89,0,0,0.065,651.3,7.8,9.7,0.039,0.042,1.8,8.02,2.88,1.12,0.2,0,32,,0.176,0.001,0,0.001,6.92,7.94,7.64,70,77.2
020031A,MAYES POND,7/14/1986,73.695975,44.67726389,6.67,,49.41,0.068,1735,20.06,8,0.036,,0.8,25.68,4.08,27.5,0.64,0,18,,0.569,0.007,0,0,6.68,7.77,8.25,40,318.9
020034,DOW (DEL) POND,7/14/1986,73.86986667,44.63254444,2.45,0.02,0.11,0.016,-19,,4,0.019,0.023,0.2,0.35,0.14,0.06,0.13,0.12,28,,0.095,0.048,0,0.01,5.18,4.19,4.77,25,12.8
020035,BARNES POND,7/14/1986,73.86181111,44.63393333,3.86,0.02,0.39,0.035,322.2,,5,0.031,0.024,5.3,4.56,1.68,0.78,0.29,0,13,,0.023,0,0,0,6.3,7.18,7.55,25,41.3
020036,UNNAMED POND,7/14/1986,73.87736667,44.63504444,1.63,0.01,0.05,0.021,21.8,,6.4,0.071,,0.2,0.74,0.16,0.06,0.02,0.04,40,,0.116,0.048,0,0,5.36,5.26,5.41,40,9.1
020037,MUD POND,7/14/1986,73.82431111,44.62365556,4.06,0.01,0.21,0.049,478.6,,10.9,0.025,0.052,7,5.99,2.4,0.94,0.15,0,70,,0.179,0.008,0,0,6.14,6.84,7.56,80,57.3
020038,ORE POND,8/20/1985,73.80791944,44.59087778,4.25,0,1.47,0.099,795.7,13.56,10.3,0.025,0.019,2.3,13.14,3.83,1.42,0.24,0.01,,16,0.442,0.061,0,0.006,6.51,6.89,7.9,70,88.9
020039,WHISTLE POND,7/17/1984,73.81736667,44.56754444,5.62,0,0.24,0.058,291.7,3.3,8.5,0.014,0.015,3.6,6.94,1.74,0.62,0.15,0,28,,0.067,0.004,,,6.3,6.99,7.45,50,46.2
020040,MUD POND,7/14/1986,73.77069722,44.59087778,3.1,0.01,0.68,0.076,502,,11.6,0.049,0.038,5.8,6.67,2.4,1.21,0.39,0.02,37,,0.127,0.02,0,0.002,7.01,7,7.66,60,63.2
020042,MUD POND,7/17/1984,73.91347778,44.56338056,5.99,0,0.14,0.081,72.9,0.49,11.7,0.018,0.019,1.2,3.06,1.02,0.64,0.08,0,61,,0.09,0.006,,,6.07,6.57,6.54,90,27.7
