LONG ,LAT ,SO4_mgL,NO3_mgL,ANC,DIC,DOC,P_total,SIO2_mgL,Ca_mgL,Na_mgL,Fe_mgL,LAB_pH
73.80570278,44.90170556,7.53,0.18,1114,12.86,5.1,0.028,2.2,16.11,7.5,0.153,8.94
73.85070278,44.85031944,4.07,0.04,981.2,12.86,7.1,0.026,3.2,13.22,1.13,0.253,7.59
73.65625278,44.80226111,6.76,,1042.2,13.11,5.3,0.032,3.2,15.03,0.78,0.153,7.64
73.65153056,44.77420833,4.47,0,421,7.18,8.9,0.488,2.2,7.08,0.6,0.136,6.65
73.85125556,44.75504167,3.89,0,651.3,7.8,9.7,0.039,1.8,8.02,1.12,0.176,7.94
73.695975,44.67726389,6.67,,1735,20.06,8,0.036,0.8,25.68,27.5,0.569,7.77
73.86986667,44.63254444,2.45,0.02,-19,,4,0.019,0.2,0.35,0.06,0.095,4.19
73.86181111,44.63393333,3.86,0.02,322.2,,5,0.031,5.3,4.56,0.78,0.023,7.18
73.87736667,44.63504444,1.63,0.01,21.8,,6.4,0.071,0.2,0.74,0.06,0.116,5.26
73.82431111,44.62365556,4.06,0.01,478.6,,10.9,0.025,7,5.99,0.94,0.179,6.84
73.80791944,44.59087778,4.25,0,795.7,13.56,10.3,0.025,2.3,13.14,1.42,0.442,6.89
73.81736667,44.56754444,5.62,0,291.7,3.3,8.5,0.014,3.6,6.94,0.62,0.067,6.99
73.77069722,44.59087778,3.1,0.01,502,,11.6,0.049,5.8,6.67,1.21,0.127,7
73.91347778,44.56338056,5.99,0,72.9,0.49,11.7,0.018,1.2,3.06,0.64,0.09,6.57
74.01986944,44.51449167,5.59,0,532,7.02,4,0.017,8.5,8.44,1.2,0.071,7.77
73.94625556,44.62004444,4.76,0.01,276.1,,6.4,0.025,5.8,3.79,1.25,0.14,6.86
74.07515,44.54421667,2.49,0,-15.6,0.44,2.5,0.012,0,0.35,0.04,0.008,4.71
74.07987222,44.54393889,2.54,0,-16,0.49,1.9,0.008,0,0.37,0.04,0.033,4.66
74.07820556,44.56005,4.58,,200.6,2.82,3.3,0.004,0.6,3.74,0.81,0.012,7.6
74.09209444,44.56810556,4.09,0,29.8,0.71,4.7,0.019,0.2,1.83,0.4,0.083,6.25
74.06737222,44.56643611,0.78,0.04,5.6,0.13,6.6,0.017,0,0.65,0.17,0.299,5.44
74.08598333,44.53671667,4.86,0,310,4.29,7.3,0.011,6.5,5.09,0.92,0.329,7.09
74.10320556,44.52755,5.25,0,258.1,2.72,5.7,0.012,4.9,4.9,0.98,0.117,7.5
74.10098333,44.52338333,5.74,0,146,1.66,5.1,0.021,4.9,4.11,0.4,0.045,6.81
74.132375,44.52699444,4.66,0,153.6,2.28,8.6,0.027,0.5,3.39,0.64,0.057,6.76
74.124875,44.51588333,5.08,0,-27.7,1.3,13.2,0.001,3.2,2.18,0.51,0.365,5
74.12459722,44.51199444,5.21,0,26.2,0.14,7,0.007,0.2,2.01,0.51,0.024,5.74
74.12848611,44.51032778,4.94,0,21,0.51,6.1,0.025,0,1.74,0.48,0.068,5.55
74.11431944,44.50588333,4.63,0,223.1,2.59,4.2,0.013,2.7,4.34,0.71,0.053,7.06
74.14126389,44.49116389,3.88,0,269.3,3.52,2.5,0.004,0.4,3.83,0.74,0.008,7.53
74.12070833,44.49560556,2.16,0,18,0.25,5.4,0.006,0,0.93,0.27,0.02,6.14
74.13431944,44.48866111,5.08,0,173.8,2.35,5.2,,2.2,4.26,0.92,0.116,6.66
74.17654444,44.47060833,3.94,0,205.8,2.5,10.6,0.029,2.9,3.6,0.87,0.318,7.01
74.17932222,44.46199722,3.39,0,-61.9,1.42,9.1,0.013,0.3,0.24,0.18,0.312,4.26
74.17737778,44.47644167,6.06,0,-110.5,1.33,16.2,0.034,0,0.62,0.2,0.175,4.04
74.16681944,44.48755278,5.63,0,-7.8,0.7,5.9,0.001,1.8,1.42,0.48,0.278,4.89
74.17071111,44.48060833,6.16,0,177.7,2.44,4.3,0.008,1.6,3.5,0.85,0.034,7.42
73.90431111,44.47421389,6.08,0,94.2,1.2,6,0.044,0.1,3.04,0.75,0.042,6.99
73.97403611,44.43615833,6.24,0.08,340.4,4.22,6.2,0.04,2.5,6.66,3.46,0.326,7.92
74.14654167,44.48171944,5.38,0,-128,2.08,27.6,0.028,1.1,1.19,0.3,0.328,3.98
74.08931667,44.50421667,1.8,0,-56,0.32,14,0.041,0,0.19,0.39,0.148,4.24
74.04237222,44.51755,3.02,0,-55.7,0.38,11.4,0.023,0,0.42,0.16,0.166,4.27
74.06598611,44.36588333,8.04,0.15,104.2,1.09,4.7,0.013,4.9,3.38,0.92,0.043,6.52
74.02792778,44.37671389,4.23,0,333.3,5.06,10.5,0.022,10.3,5.59,1.46,0.485,6.61
74.12182222,44.32921667,4.4,0,151.6,2.03,3.1,0.013,1.5,4.53,7.57,0.056,7.24
74.13293333,44.32505278,5.48,0,221.2,3.15,5.6,0.017,2.6,4.76,2.29,0.103,7.07
74.11626667,44.31727222,1.03,0,649.8,8.72,6.5,0.022,0.2,10.84,4.14,0.385,7.2
74.07459722,44.32421667,8.21,0,86.6,0.97,2.9,0.013,2.5,3.39,0.79,0.003,6.58
74.09265278,44.29338333,5.7,0,482.9,6.67,4.7,0.036,14,9.22,4.14,0.294,7.42
74.07181944,44.29699444,5.8,0,272.4,3.71,5.1,0.031,3.1,6.66,6.46,0.071,7.31
74.05598611,44.29560556,5.93,0.01,155.5,2.77,5.2,0.015,10.3,4.86,1.54,0.245,6.62
74.03820833,44.26004722,6.71,0,45.9,0.5,8.7,0.026,0.3,2.33,0.9,0.082,6.37
74.06348611,44.24449444,5.51,0,0.5,0.26,1.5,0.027,0,1.2,0.12,0.029,5.04
74.14737778,44.262275,6.52,0,73,0.81,3.1,0.082,0,2.5,0.8,0.007,6.67
74.15265556,44.26838611,5.76,0,-7.5,0.08,2.9,0.088,0,1.33,0.32,0.039,5.03
74.15099167,44.259775,8.06,0,406.2,4.58,3.9,0.03,13,7.11,1.71,0.065,7.22
74.17126944,44.28338611,6.05,0,171.9,1.93,4.7,0.011,1.8,4.13,1.97,0.04,7.07
74.18349167,44.28866389,6.05,0,170.4,1.88,4.7,0.014,1.6,4.14,1.91,0.047,6.96
74.15098889,44.32949722,6.36,0,424.2,5.68,9.1,0.016,2,9.54,9.84,0.12,6.93
74.15348889,44.33394167,9.06,0,471.6,5.38,4.9,0.02,0.1,10.16,13.03,0.018,7.99
74.20904722,44.35116667,5.1,0,133.3,1.25,5.7,0.015,0.3,3.27,0.91,0.4,7
74.194325,44.32310833,6.46,,255,5.97,11.7,0.022,9.8,4.93,1.48,0.186,6.35
74.27516111,44.24061389,9.12,0.02,60.1,1.35,10,0.017,7.2,3.66,0.79,0.271,6.17
74.28294167,44.25005833,2,0,-56.7,1.64,13.7,0.026,0,0.17,0.16,0.145,4.26
74.29321944,44.26533611,8.16,0.1,175.6,3.42,8.8,0.026,11.5,4.41,1.42,0.318,6.45
74.321275,44.23228056,4.12,0,83.8,5.41,8.4,0.025,1.8,5.4,20.1,0.428,5.68
74.35905278,44.28478056,4.42,0,-2.3,3.03,19.2,0.03,5.7,3.81,13.86,0.054,4.82
74.34544167,44.31061389,4.85,0,249.5,2.99,2.1,0.006,5.7,4.45,1.57,0.009,7.59
74.36016389,44.31728056,4.59,0,46.2,0.57,3.3,0.007,0.3,1.78,0.56,0.023,6.89
74.36183056,44.32616944,5.68,0,58.1,0.78,4.7,0.021,1.2,2.45,0.67,0.386,6.47
74.35571944,44.32644722,6.06,0,-0.9,0.17,3.2,0.007,0.3,1.77,0.47,0.009,5.59
74.36710833,44.336725,4.76,0,-52.8,0.42,8.8,0.014,0.2,0.58,0.07,0.122,4.19
74.35738611,44.29978056,4.75,0,145.1,1.8,5.2,0.009,3.9,3.01,1.02,0.179,7
74.35544167,44.30089167,5.23,0,139.4,1.63,4.5,0.012,4.4,3.46,0.89,0.18,7.12
74.36460833,44.30283611,5.21,0,149.1,1.68,4.4,0.022,3.9,3.58,0.84,0.302,7.23
74.38905556,44.29978056,1.2,0,7,0.74,6.8,0.029,0,0.6,0.18,0.188,5.29
74.39766667,44.30089167,2.36,0,-15.1,0.73,11,0.03,0.3,1.03,0.08,0.117,4.66
74.38988889,44.29950278,1.76,0,43.4,1.33,9.8,0.02,0.4,1.25,0.33,0.77,5.65
74.39183333,44.29311389,2.32,0,142.2,4.94,16.4,0.026,8.5,3.48,0.7,2.05,5.96
74.38322222,44.30533611,3.6,0,121.5,1.82,4.3,0.012,0.3,2.98,0.11,0.022,7.31
74.36821944,44.30728056,3.73,0,-96,1.61,14.9,0.044,0.3,0.57,0.17,0.315,4.13
74.36849722,44.30728056,2.05,0,16.6,1.75,10.9,0.021,1.5,0.98,0.11,0.266,4.52
74.37044167,44.30866944,2.82,0,-102.4,1.39,18.8,0.023,0,0.39,0.18,0.31,4.08
74.37183056,44.31200278,2.52,0,-28.9,1.11,8.8,0.034,0,0.65,0.08,0.163,4.5
74.37460833,44.31561389,4.08,0,366.6,4.24,2.3,0.014,10,5.25,1.24,0.077,7.73
74.37183056,44.31700278,5.35,0,117,1.43,4.5,0.01,3.5,3.3,0.74,0.164,7.02
74.38377778,44.31394722,2.59,0,-50.5,0.26,6.5,0.017,0,0.41,0.05,0.11,4.35
74.38294444,44.31616944,3.2,0,-41.3,0.43,4.3,0.015,0,0.45,0.07,0.171,4.45
74.37155278,44.33700278,7.18,0,86.5,1.3,6.1,0.014,1.6,3.36,0.84,0.15,6.61
74.39433333,44.33755833,3.56,0,48.7,2.25,7.8,0.021,0.7,1.69,0.61,0.17,5.65
74.39711111,44.34339167,2.78,0,-29,0.99,3.6,0.017,0,0.52,0.07,0.125,4.49
74.38571944,44.34450278,2.75,0,31.3,0.58,6.2,0.012,0.1,1.46,0.07,0.13,6.23
74.41183333,44.33978056,4.4,0,145.1,1.64,5.9,0.015,5.2,3.25,0.84,0.314,6.95
74.41072222,44.33616944,3.49,0,-42.1,0.22,3.6,0.011,0.2,0.48,0.06,0.069,4.42
74.40044444,44.34728056,5.18,0,102.8,1.19,4.1,0.008,4.1,3.1,0.7,0.123,6.91
74.41322222,44.35311389,4.03,0,181,3.2,6.9,0.015,9.6,4.11,0.88,0.53,6.7
74.416,44.35561389,6.15,0,143.8,1.71,9,0.017,6.7,4.16,0.95,0.139,6.71
74.42988889,44.34589167,2.29,,24,1.88,6.4,0.02,0.5,1,0.24,0.113,5.53
74.41905556,44.34450278,2.11,0,-10,0.4,6.4,0.048,0.2,0.78,0.19,0.092,4.78
74.42266667,44.35839167,5.27,0,20.4,0.35,3.1,0.003,1.6,2.09,0.42,0.01,6.12
