Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
020006A,LAKE ROXANNE ,Ellenburg ,Ellenburg Depot ,N ,Private ,None ,Clinton,Champlain,N,None,None,445406,734822,11397.3,537948,145,2.4,49719,5942,35,78.6,50,0.7,265,78.6,74.2,6.4,5/6/1986,,17,1,,,,,41,,1,160,,,54,22,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
20008,MOON POND ,Ellenburg ,Ellenburg Mtn ,Y ,Public ,None ,Clinton,Champlain,N,None,Unnamed,445101,735104,686.8,13851,361.5,2.1,49668,5905,38,1.9,20,0.7,411,1.9,188.4,0.8,5/5/1986,19,,,,,,,,,12,25,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,KIWANIS LAKE ,Altona ,Jericho ,N ,Private ,None ,Clinton,Champlain,N,None,None,444808,733924,366.6,400222,25.3,4.9,49616,6066,25,9.7,5,2.8,386,14.5,2.3,2.5,10/21/1985,,,,,,,,,,,51,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,UNNAMED POND ,Beekmantown ,Jericho ,N ,Private ,None ,Clinton,Champlain,N,None,None,444627,733907,35.3,2547,88.2,0.9,49595,6066,25,0.4,50,0.6,442,0.4,34.7,0.2,5/8/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20021,MUD POND ,Dannemora ,Ellenburg Mtn ,Y ,Private ,None ,Clinton,Champlain,N,None,None,444518,735106,224.1,48526,31.6,1.8,49561,5908,38,7.1,95,0.7,517,7.1,17.6,2.2,5/5/1986,9,,,,,,,,,97,43,30,,8,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,40,,,,,,,,,,,
020031A,MAYES POND ,Saranac ,Dannemora ,Y ,Private ,None ,Clinton,Champlain,N,None,None,444038,734147,26.5,6188,26.5,2.4,49477,6030,25,1,1,0.6,227,1,10.7,0.6,10/14/1986,,7,,,,,,23,,,8,,,20,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20034,DOW (DEL) POND ,Saranac ,Moffitsville ,Y ,Private ,None ,Clinton,Champlain,N,None,None,443757,735213,16,6111,53.3,4,49426,5896,38,0.2,99,2,418,0.3,10,0.2,5/5/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20035,BARNES POND,Saranac,Moffitsville,Y,Private,None,Clinton,Champlain,N,None,None,443802,735144,76.9,41392,17.5,1.5,49426,5904,38,4.4,7,0.9,452,4.4,7.1,1.1,5/5/1986,,,,,,,,,,,,3,,42,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20036,UNNAMED POND ,Saranac ,Lyon Mtn. ,Y ,Private ,None ,Clinton,Champlain,N,None,None,443806,735240,52,11663,43.3,1.2,49427,5889,38,1.2,99,1,436,1.2,16.9,0.4,5/5/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20037,MUD POND ,Saranac ,Redford ,Y ,Private ,None ,Clinton,Champlain,N,None,None,443725,734929,535.9,44104,191.4,3.7,49419,5934,38,2.3,99,1.6,387,2.8,46.2,0.7,5/7/1986,7,,,,,,,92,,73,39,8,,47,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
