ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
,17,1,,,,,41,,1,160,,,54,22,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,537948,78.6,265,Champlain,Ellenburg Depot 
19,,,,,,,,,12,25,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13851,1.9,411,Champlain,Ellenburg Mtn 
,,,,,,,,,,51,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400222,9.7,386,Champlain,Jericho 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2547,0.4,442,Champlain,Jericho 
9,,,,,,,,,97,43,30,,8,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,40,,,,,,,,,,,,48526,7.1,517,Champlain,Ellenburg Mtn 
,7,,,,,,23,,,8,,,20,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6188,1,227,Champlain,Dannemora 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6111,0.2,418,Champlain,Moffitsville 
,,,,,,,,,,,3,,42,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41392,4.4,452,Champlain,Moffitsville
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11663,1.2,436,Champlain,Lyon Mtn. 
7,,,,,,,92,,73,39,8,,47,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44104,2.3,387,Champlain,Redford 
,,,,22,,,,,,,2,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77341,6.1,363,Champlain,Redford 
,,,,,,,,,2,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48375,3.6,431,Champlain,Redford 
2,,,,,,,,,18,42,42,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52337,7.3,359,Champlain,Redford 
9,,,,,,,19,,29,131,,,91,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352783,44.1,418,Champlain,Alder Brook 
44,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33801,3.3,517,Champlain,Loon Lake 
5,,,,,,,83,,14,16,99,,2,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,20070,2.1,464,Champlain,Alder Brook 
