ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,Richness,Volume.m3.,Littoral.Area..ha.,Elevation..m.,Watershed,Quad,LONG,LAT,SO4_mgL,NO3_mgL,ANC,DIC,DOC,P_total,SIO2_mgL,Ca_mgL,Na_mgL,Fe_mgL,LAB_pH
0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,537948,78.6,265,Champlain,Ellenburg Depot ,-73.80570278,44.90170556,7.53,0.18,1114,12.86,5.1,0.028,2.2,16.11,7.5,0.153,8.94
1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13851,1.9,411,Champlain,Ellenburg Mtn ,-73.85070278,44.85031944,4.07,0.04,981.2,12.86,7.1,0.026,3.2,13.22,1.13,0.253,7.59
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,400222,9.7,386,Champlain,Jericho ,-73.65625278,44.80226111,6.76,NA,1042.2,13.11,5.3,0.032,3.2,15.03,0.78,0.153,7.64
1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,48526,7.1,517,Champlain,Ellenburg Mtn ,-73.85125556,44.75504167,3.89,0,651.3,7.8,9.7,0.039,1.8,8.02,1.12,0.176,7.94
0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6188,1,227,Champlain,Dannemora ,-73.695975,44.67726389,6.67,NA,1735,20.06,8,0.036,0.8,25.68,27.5,0.569,7.77
1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44104,2.3,387,Champlain,Redford ,-73.82431111,44.62365556,4.06,0.01,478.6,NA,10.9,0.025,7,5.99,0.94,0.179,6.84
1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,52337,7.3,359,Champlain,Redford ,-73.77069722,44.59087778,3.1,0.01,502,NA,11.6,0.049,5.8,6.67,1.21,0.127,7
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,352783,44.1,418,Champlain,Alder Brook ,-73.91347778,44.56338056,5.99,0,72.9,0.49,11.7,0.018,1.2,3.06,0.64,0.09,6.57
1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20070,2.1,464,Champlain,Alder Brook ,-73.94625556,44.62004444,4.76,0.01,276.1,NA,6.4,0.025,5.8,3.79,1.25,0.14,6.86
0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7399735,49.4,522,Champlain,Loon Lake ,-74.07820556,44.56005,4.58,NA,200.6,2.82,3.3,0.004,0.6,3.74,0.81,0.012,7.6
