"","pair","Community","Values"
"1","CC_GS","Com 1","0.08455"
"2","CC_NRD","Com 11","0.21059"
"3","CC_NRD","Com 14","0.31713"
"4","CC_FSD-NRD","Com 15","0.22436"
"5","CC_NRD","Com 15","0.3793"
"6","CC_PD","Com 15","0.06459"
"7","FSD-NRD_NRD","Com 15","0.27882"
"8","FSD-NRD_PD","Com 15","0.08296"
"9","NRD_PD","Com 15","0.09665"
"10","CC_CS","Com 17","0.22492"
"11","BM_CC","Com 19","0.34518"
"12","BM_GS","Com 19","0.18442"
"13","CC_GS","Com 19","0.10184"
"14","CC_GS","Com 2","0.16234"
"15","CC_NRD","Com 2","0.18204"
"16","GS_NRD","Com 2","0.23417"
"17","BND_CC","Com 22","0.41773"
"18","GS_NRD","Com 24","0.00206"
"19","CC_FHM","Com 25","0.10562"
"20","CC_GS","Com 25","0.33616"
"21","CC_NRD","Com 25","0.42892"
"22","FHM_GS","Com 25","0.20061"
"23","FHM_NRD","Com 25","0.16957"
"24","GS_NRD","Com 25","0.4773"
"25","CC_CLM","Com 26","0.32952"
"26","CC_CS","Com 26","0.2013"
"27","CLM_CS","Com 26","0.24912"
"28","CC_FSD-NRD","Com 3","0.16804"
"29","CC_NRD","Com 3","0.07977"
"30","CC_PD","Com 3","0.0425"
"31","FSD-NRD_NRD","Com 3","0.19211"
"32","FSD-NRD_PD","Com 3","0.07891"
"33","NRD_PD","Com 3","0.12354"
"34","FSD_GS","Com 5","0.21715"
"35","FSD_PD","Com 5","0.1999"
"36","GS_PD","Com 5","0.331"
"37","BM_CC","Com 7","0.24717"
"38","BM_CS","Com 7","0.45888"
"39","BM_GS","Com 7","0.04747"
"40","BM_NRD","Com 7","0.30643"
"41","CC_CS","Com 7","0.35474"
"42","CC_GS","Com 7","0.03842"
"43","CC_NRD","Com 7","0.16495"
"44","CS_GS","Com 7","0.10186"
"45","CS_NRD","Com 7","0.27672"
"46","GS_NRD","Com 7","0.08105"
"47","BND_CC","Com 8","0.30244"
"48","CC_GS","Com 9","0.1399"
"49","CC_NRD","Com 9","0.27855"
"50","GS_NRD","Com 9","0.47833"
