YSAMP_N,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_LOC,ANGLER_HOURS,ANGLER_TRIPS,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,SHB_N,REACH_LENGTH_M,PROJECT,COMMENTS
BEF.BYP.2017.001,BYP,,,5/16/2017,,,,136,5,2017,,,,BEF,,,,,,,,,,,,,,,,,KJJ,"KJJ, DEC CREW",,,,
BEF.FBL.1999.001,FBL,,,6/21/1999,,,S,172,6,1999,1,425,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.002,FBL,,,6/21/1999,,,S,172,6,1999,2,800,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.003,FBL,,,6/21/1999,,,S,172,6,1999,3,1369,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.004,FBL,,,6/21/1999,,,S,172,6,1999,4,1247,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.005,FBL,,,6/21/1999,,,S,172,6,1999,5,1270,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.006,FBL,,,6/24/1999,,,S,175,6,1999,1,2800,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.007,FBL,,,6/24/1999,,,S,175,6,1999,2,2228,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.1999.008,FBL,,,6/24/1999,,,S,175,6,1999,3,1599,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.001,FBL,,,5/21/2001,,,S,142,5,2001,1,341,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,,,,,,201
BEF.FBL.2001.002,FBL,,,5/21/2001,,,S,142,5,2001,2,1006,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,,,,,,202
BEF.FBL.2001.003,FBL,,,5/21/2001,,,S,142,5,2001,3,1456,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,,,,,,203
BEF.FBL.2001.004,FBL,,,5/22/2001,,,S,143,5,2001,1,788,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,,,,,,204
BEF.FBL.2001.005,FBL,,,5/24/2001,,,S,145,5,2001,1,403,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,,,,,,205
BEF.FBL.2001.006,FBL,BEF.FBL.001,,6/14/2001,,,S,165,6,2001,1,442,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.007,FBL,BEF.FBL.002,,6/14/2001,,,S,165,6,2001,2,372,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.008,FBL,BEF.FBL.003,,6/14/2001,,,S,165,6,2001,3,561,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.009,FBL,BEF.FBL.004,,6/14/2001,,,S,165,6,2001,4,464,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.010,FBL,BEF.FBL.005,,6/14/2001,,,S,165,6,2001,5,239,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.011,FBL,BEF.FBL.006,,6/14/2001,,,S,165,6,2001,6,249,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.012,FBL,BEF.FBL.007,,6/14/2001,,,S,165,6,2001,7,719,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.013,FBL,BEF.FBL.008,,6/14/2001,,,S,165,6,2001,8,750,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.014,FBL,BEF.FBL.009,,6/14/2001,,,S,165,6,2001,9,175,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.015,FBL,BEF.FBL.010,,6/14/2001,,,S,165,6,2001,10,296,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.016,FBL,BEF.FBL.011,,6/14/2001,,,S,165,6,2001,11,524,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.017,FBL,BEF.FBL.012,,6/14/2001,,,S,165,6,2001,12,455,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.018,FBL,BEF.FBL.013,,6/14/2001,,,S,165,6,2001,13,221,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.019,FBL,BEF.FBL.014,,6/14/2001,,,S,165,6,2001,14,854,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.020,FBL,BEF.FBL.001,,6/20/2001,,,S,171,6,2001,1,210,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.021,FBL,,,6/20/2001,,,S,171,6,2001,2,957,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,SITES BEF.FBL.002 and 003
BEF.FBL.2001.022,FBL,BEF.FBL.004,,6/20/2001,,,S,171,6,2001,3,176,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.023,FBL,BEF.FBL.005,,6/20/2001,,,S,171,6,2001,4,386,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.024,FBL,BEF.FBL.006,,6/20/2001,,,S,171,6,2001,5,201,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.025,FBL,BEF.FBL.007,,6/20/2001,,,S,171,6,2001,6,586,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.026,FBL,BEF.FBL.008,,6/21/2001,,,S,172,6,2001,1,741,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.027,FBL,BEF.FBL.009,,6/21/2001,,,S,172,6,2001,2,327,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.028,FBL,BEF.FBL.010,,6/21/2001,,,S,172,6,2001,3,296,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.029,FBL,BEF.FBL.011,,6/21/2001,,,S,172,6,2001,4,800,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.030,FBL,BEF.FBL.012,,6/21/2001,,,S,172,6,2001,5,854,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.031,FBL,BEF.FBL.013,,6/21/2001,,,S,172,6,2001,6,217,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.032,FBL,BEF.FBL.014,,6/21/2001,,,S,172,6,2001,7,1106,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.033,FBL,BEF.FBL.001,,10/15/2001,,,F,288,10,2001,1,363,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.034,FBL,BEF.FBL.002,,10/15/2001,,,F,288,10,2001,2,244,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.035,FBL,BEF.FBL.003,,10/15/2001,,,F,288,10,2001,3,226,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.036,FBL,BEF.FBL.004,,10/15/2001,,,F,288,10,2001,4,236,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.037,FBL,BEF.FBL.005,,10/15/2001,,,F,288,10,2001,5,386,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.038,FBL,BEF.FBL.006,,10/15/2001,,,F,288,10,2001,6,411,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.039,FBL,BEF.FBL.007,,10/15/2001,,,F,288,10,2001,7,72,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.040,FBL,BEF.FBL.008,,10/15/2001,,,F,288,10,2001,8,891,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.041,FBL,BEF.FBL.009,,10/15/2001,,,F,288,10,2001,9,122,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.042,FBL,BEF.FBL.010,,10/15/2001,,,F,288,10,2001,10,140,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.043,FBL,BEF.FBL.011,,10/15/2001,,,F,288,10,2001,11,359,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.044,FBL,BEF.FBL.012,,10/15/2001,,,F,288,10,2001,12,235,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2001.045,FBL,BEF.FBL.013,,10/15/2001,,,F,288,10,2001,13,88,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,BCW,,,,,
BEF.FBL.2002.001,FBL,,,6/12/2002,,,S,163,6,2002,1,600,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.002,FBL,,,6/12/2002,,,S,163,6,2002,2,516,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.003,FBL,,,6/12/2002,,,S,163,6,2002,3,316,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.004,FBL,,,6/12/2002,,,S,163,6,2002,4,546,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.005,FBL,,,6/12/2002,,,S,163,6,2002,5,490,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.006,FBL,,,6/12/2002,,,S,163,6,2002,6,204,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.007,FBL,,,6/12/2002,,,S,163,6,2002,7,1283,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.008,FBL,,,6/12/2002,,,S,163,6,2002,8,572,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.009,FBL,,,6/12/2002,,,S,163,6,2002,9,462,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.010,FBL,,,6/12/2002,,,S,163,6,2002,10,980,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.011,FBL,,,10/1/2002,,,F,274,10,2002,1,294,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.012,FBL,,,10/1/2002,,,F,274,10,2002,2,230,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.013,FBL,,,10/1/2002,,,F,274,10,2002,3,320,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.014,FBL,BEF.FBL.014,,10/2/2002,,,F,275,10,2002,1,373,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.015,FBL,,,10/2/2002,,,F,275,10,2002,2,950,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.016,FBL,,,10/2/2002,,,F,275,10,2002,3,253,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.017,FBL,,,10/2/2002,,,F,275,10,2002,4,498,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.018,FBL,,,10/2/2002,,,F,275,10,2002,5,338,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
