Sample ID,d15N,d13C
278,7.89,-28.15
287,7.92,-29.52
365,9.41,-33.08
3,7.28,-29.48
4,5.58,-28.47
5,6.24,-29.87
7,6.24,-27.67
9,6.85,-28.03
10,7.08,-28.81
15,6.37,-30.88
17,6.46,-29.5
21,7.38,-28.81
22,8.09,-34.17
23,6.57,-29.71
26,7.4,-29.63
27,7.39,-29.62
29,6.8,-30.05
30,6.78,-29.28
31,6.44,-29.04
32,7.34,-30.03
33,7.98,-30.58
34,7.14,-30.32
35,7.01,-26.79
36,7.26,-28.45
38,7.16,-29.78
41,6.25,-27.47
44,6.03,-27.74
45,7.14,-27.97
46,7.47,-29.31
49,7.15,-28.82
50,6.79,-30.77
51,7.3,-29.25
52,6.73,-28.64
54,7.04,-31.63
55,6.77,-32.06
59,7.73,-31.93
66,7.7,-31.56
67,7.16,-29.78
68,8.08,-31.75
69,7.77,-31.08
88,4.47,-30.12
122,6.96,-30.03
123,6.92,-28.06
124,6.19,-26.34
125,5.94,-26.36
126,4.77,-26.35
127,6.68,-26.16
128,6.48,-27.15
129,9.1,-24.91
130,6.22,-25.54
131,6.77,-25.22
132,8.1,-25.65
133,6.38,-25.72
134,6.51,-27.14
135,5.84,-27.48
136,6.03,-26.95
137,6.08,-24.03
138,6.2,-26.4
139,5.98,-27.62
140,6.72,-27.17
141,6.31,-24.26
142,5.89,-27.02
143,8.38,-28.33
144,8.12,-27.28
145,5.56,-31.55
146,7.61,-27.3
147,6.94,-28.85
148,6.15,-30.02
150,6.1,-26.69
151,6.31,-25.71
152,6.31,-26.53
153,7.41,-26.07
154,6.67,-26.41
155,7.79,-25.14
156,6.6,-26.45
158,5.98,-25.78
159,8.03,-24.54
160,6.64,-26.36
161,6.41,-24.77
162,7.5,-26.5
163,5.92,-27.13
164,5.55,-26.81
165,5.26,-26.25
166,8.55,-27.76
167,7.37,-27.31
168,6.36,-29.16
170,6.15,-29.17
172,6.54,-27.15
173,6.69,-28.2
174,5.92,-27.28
175,6.53,-27.2
0175 duplicate ID,6.53,-27.34
176,5.17,-28.71
177,5.8,-27.41
178,7.05,-26.74
179,6.74,-27.29
180,6.39,-27.44
181,5.64,-27.68
182,5.69,-29.16
183,4.94,-29.36
185,5.55,-29.52
186,5.41,-28.78
187,6.05,-27.39
188,5.93,-26.79
189,7.45,-28.94
190,7.39,-29.32
191,7.03,-27.86
192,7.07,-28.71
193,7.34,-29.04
194,6.95,-28.88
195,7.1,-31.32
196,6.27,-29.15
197,6.4,-28.25
198,4.4,-29.55
199,7.37,-29.61
200,5.72,-26.49
201,5.36,-34.58
202,5.43,-33.91
203,5.97,-32.24
204,5.65,-26.04
209,6.84,-28.4
223,7.78,-27.15
224,7.61,-29.46
227,7.59,-24.99
230,8.92,-22.84
238,8.12,-25.38
242,7.8,-24.92
244,8.11,-23.59
246,9.75,-23.95
247,8.16,-25.45
248,9.15,-29.79
250,7.89,-25.88
252,7.41,-25.3
253,7.67,-26.66
254,7.96,-26.07
255,7.78,-23.54
259,7.57,-24.82
260,9.38,-29.7
261,8.64,-27.58
262,9.48,-28.27
265,8.43,-29.12
266,8.24,-25.78
269,7.22,-25.73
271,7.45,-26.79
272,7.16,-30
273,7.76,-32.12
274,7.54,-30.37
275,8.29,-31.84
276,7.17,-28.92
277,7.36,-30.4
279,6.79,-28.81
280,6.5,-28.72
281,7.58,-29.7
282,8.01,-29.43
283,7.33,-30.92
284,7.11,-28.8
285,7.18,-30.56
286,8.36,-30.99
288,8.19,-30.88
289,7.31,-29.93
290,7.75,-31.65
291,9.26,-31.62
292,7.72,-29.38
293,7.23,-29.47
294,6.99,-30.64
295,7.85,-29.05
296,7.99,-30.41
297,7.4,-29.31
298,8.16,-28.51
299,6.88,-30.53
300,7.5,-30.09
301,7.5,-28.73
302,7.1,-28.53
303,6.72,-31.45
304,7.12,-31.3
305,7.05,-31.03
306,7.41,-30.26
307,7.43,-29.2
308,7.24,-28.3
309,6.74,-32.23
313,7.31,-30.22
314,7.22,-30.83
317,7.51,-30.44
318,8.08,-30.72
320,8.5,-31.93
321,9.34,-30.5
323,8.59,-30.58
329,8.06,-29.56
331,9.4,-31.25
337,9.56,-33.49
338,7.51,-32.1
339,8.64,-31.44
340,9.04,-29.56
341,8.09,-33.99
342,9.46,-33.17
343,8.19,-32.64
344,8.46,-28.16
345,8.96,-31.14
346,9.24,-32.52
347,8.94,-30.1
348,8.73,-32.41
349,7.57,-32.84
350,9.48,-31.86
351,8.97,-33.36
352,8.05,-34.08
353,9.17,-34.38
354,8.57,-32.66
355,9.19,-33.22
356,7.67,-32.91
0357A,9.12,-32.06
358,9.75,-33.63
359,9.54,-33.3
360,9.51,-33.12
361,10.05,-35.53
362,9.21,-34.16
363,9.24,-32.02
364,8.94,-31.38
0365 duplicate ID,8.92,-32.29
366,9.68,-33.41
368,8.5,-28.68
369,8.93,-29.21
370,6.11,-29.8
371,8.39,-27.88
372,8.54,-29.01
373,5.46,-30.08
374,7.54,-28.81
375,7.57,-29.75
376,7.07,-30.17
377,7.17,-28.74
378,7.76,-29.66
379,8,-30.58
380,8.34,-31
381,8.1,-29.81
382,7.54,-30.02
383,7.65,-29.8
384,6.88,-30.2
385,6.48,-28.58
386,7.94,-29.39
387,6.86,-29.14
388,6.84,-30.64
95,5.68,-31.37
1,7.05,-30.04
53,7.91,-29.63
2,7.21,-28.2
0233A,6.14,-25.52
87,7.46,-31.51
245,8.15,-23.48
86,7.6,-30.41
0225A,7.62,-28.66
212,6.64,-26.94
93,5.11,-30.74
264,9.42,-25.93
210,6.79,-28.3
3,5.8,-30.94
215,6.28,-26.66
0218A,9.01,-30.22
90,7.21,-31.23
94,5.48,-30.9
115,3.07,-37.32
213,6.3,-28.29
207,7.17,-28.39
216,6.22,-27.65
214,6.19,-26.36
40,7.2,-30.14
312,6.77,-29.99
237,9.54,-27.48
330,8.98,-30.34
220,8.02,-23.39
268,8.81,-28.5
243,7.72,-22.25
219,7.59,-26.13
233,8.85,-24.53
328,8.32,-29.31
171,5.23,-28.55
169,4.76,-27.77
6,6.84,-28.24
206,5.56,-26.3
116,6.35,-29.95
206,7.33,-26.8
84,7.22,-28.36
236,10.25,-29.77
149,5.95,-27.35
222,7.6,-24.87
256,8.32,-22.94
260,7.17,-26.51
251,7.94,-25.2
208,7.09,-28.61
8,7.43,-28.5
234,8.47,-24.83
322,8.94,-31.23
327,9.76,-31.57
205,5.67,-27.34
91,7.84,-31.12
228,8.18,-23.03
257,7.22,-27.73
92,7.57,-31.26
325,8.63,-31.81
319,8.73,-31.95
324,8.73,-31.48
16,6.21,-29.59
258,8.76,-24.84
184,5.38,-26.94
239,9.05,-27.04
311,7.65,-30.41
229,9.32,-23.12
232,8.59,-22.17
315,7.8,-29.56
326,8.6,-30.19
310,8.02,-29.98
263,10.8,-25.27
316,7.27,-30.99
231,6.5,-26.82
157,9.18,-23.26
270,7.74,-27.61
249,8.33,-26.65
85,3.47,-35.29
211,5.14,-26.21
240,8.62,-26.2
114,6.2,-30.46
217,6.28,-26.28
241,8.58,-20.85
221,7.56,-25.9
267,7.7,-26.69
