YSAMP_N,FISH_N,GEN_N,CODE,LENGTH,WEIGHT,sample_weight_mg,N2_AMP,N_percent,d15N,CO2_AMP,C_percent,d13C,BLOOD,GUT,HEAD,OTOLITH,MAXILLA,OPERCULAR,TISS_SAMP,DRY_W,GONAD,DISEASE,PIC,ARCH,ARCH_N,REMOVED,DEAD,MOLT_S,PANEL_N,COMMENTS.x,STATUS,TAG_CLAR,TAG_MIGR,TAG_FRAG,TAG_CLAR_SHRD,TAG_MIGR_SHRD,TAG_FRAG_SHRD,STK_N,ORIGIN,STR,YR_CL,AGE,AGE_TECH,AGED_BY,X.1,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,ANGLER_LOC,PROJECT,COMMENTS.y,SHB_N,REACH_LENGTH,COMMENTS.1,RUN
BEF.HAL.2021.034,RS.HAL.052621.BEF.001,GEN.RS.PRL.052621.001,RS,105,5.87,1.048,"4,926",13.59,8.17,"2,425",47.03,-26.19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.034,RS.HAL.052621.BEF.002,GEN.RS.PRL.052621.002,RS,105,5.49,0.955,"4,387",13.36,7.93,"2,247",47.77,-26.97,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.034,RS.HAL.052621.BEF.003,GEN.RS.PRL.052621.003,RS,117,5.17,1.103,"5,069",13.32,7.99,"2,551",47.2,-27.03,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.034,RS.HAL.052621.BEF.004,GEN.RS.PRL.052621.004,RS,118,6.56,0.995,"4,637",13.57,8.47,"2,261",46.15,-25.78,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.034,RS.HAL.052621.BEF.005,GEN.RS.PRL.052621.005,RS,67,1.35,1.049,"4,866",13.44,8.65,"2,417",46.88,-26.33,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.034,RS.HAL.052621.BEF.006,GEN.RS.PRL.052621.006,RS,69,1.39,1.109,"5,162",13.45,7.92,"2,584",47.48,-26.62,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.034,RS.HAL.052621.BEF.007,GEN.RS.PRL.052621.007,RS,68,1.23,1.033,"4,644",13.05,8.38,"2,444",48.13,-26.67,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.005,,5/26/2021,1/0/1900 20:50,1/0/1900 21:14,S,146,5,2021,12,399,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.035,RS.HAL.052621.BEF.008,GEN.RS.PRL.052621.008,RS,117,7.48,0.915,"4,104",13.06,7.99,"2,163",47.79,-27.21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.006,,5/26/2021,1/0/1900 21:25,1/0/1900 21:40,S,146,5,2021,13,358,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.035,RS.HAL.052621.BEF.009,GEN.RS.PRL.052621.009,RS,108,5.1,1.082,"5,060",13.58,8.51,"2,496",46.93,-25.95,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.006,,5/26/2021,1/0/1900 21:25,1/0/1900 21:40,S,146,5,2021,13,358,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
BEF.HAL.2021.035,RS.HAL.052621.BEF.010,GEN.RS.PRL.052621.010,RS,80,2.44,0.952,"4,498",13.75,8.61,"2,157",45.75,-25.64,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HAL,BEF.HAL.006,,5/26/2021,1/0/1900 21:25,1/0/1900 21:40,S,146,5,2021,13,358,SECONDS,BEF,NAF,,,,NA,NA,NA,13,NA,NA,NA,NA,,KJJ,"KJJ, EAB",NA,NA,NA,NA,NA,NA,,,5
