Species,CPUE_CP,CPUE_CON,LENGTH_CP,LENGTH_CON,,,,,
PS,1,0,0,1,,,,,
SS,1,0,0,1,,,,,
RS,1,0,1,0,,,,,
WS,1,0,0,1,,,,,
MM,1,0,0,1,,,,,
ST,1,0,0,1,,,,,
BB,1,0,0,1,,,,,
CC,0,1,1,0,,,,,
CS,0,1,0,1,,,,,
LT,0,1,1,0,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Species,CPUE ,LENGTH
,,,,,,,Pumpkinseed,2006,Continuous
,,,,,,,Slimy Sculpin,2004,NA
,,,,,,,Rainbow Smelt,2010,2010
,,,,,,,White Sucker,2001,Continuous
,,,,,,,Central Mudminnow,2001,Continuous 
,,,,,,,Brook Trout,2003,NA
,,,,,,,Brown Bullhead,2001,Continuous
,,,,,,,Creek Chub,NA,2010
,,,,,,,Common Shiner,NA,Continuous
,,,,,,,Lake Trout ,Continuous,2010
