YSAMP_N,WATER,SITE_N,DATE_SET,DATE_COL,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,TIME_START,TIME_END,GEAR,GEAR_CODE,GEAR_CODE2,EFFORT,EFFORT_UNIT,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,ANGLER_LOC,PROJECT,COMMENTS,SHB_N,REACH_LENGTH_M,PASS
GLN1,PRL,2,8/10/2021,8/10/2021,SUMMER,222,8,2021,1,11:30,12:00,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN2,COM ,9,8/12/2021,8/12/2022,SUMMER,224,8,2021,1,7:35,8:05,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN3,COM ,9,8/12/2021,8/12/2022,SUMMER,224,8,2021,2,8:15,8:45,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN4,PRL,3,6/24/2021,6/24/2021,SUMMER,175,6,2021,2,10:20,10:50,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW, TD",,,,,,,,,,
GLN5,PRL,2,6/24/2021,6/24/2021,SUMMER,175,6,2021,1,9:28,9:59,GLN,GLN1.5,,31:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW, TD",,,,,,,,,,
GLN6,PRL,3,8/11/2021,8/11/2021,SUMMER,223,8,2021,2,11:16,11:45,GLN,GLN1.5,,29:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN7,PRL,3,8/11/2021,8/11/2021,SUMMER,223,8,2021,1,10:35,11:05,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN8,PRL,2,6/23/2021,6/23/2021,SUMMER,174,6,2021,1,11:39,12:13,GLN,GLN1.5,,34:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN9,PRL,2,6/23/2021,6/23/2021,SUMMER,174,6,2021,2,12:34,13:06,GLN,GLN1.5,,32:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN10,COM ,10,8/12/2021,8/12/2021,SUMMER,224,8,2021,3,9:04,9:20,GLN,GLN1.5,,16:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN14,COM,10,8/12/2021,8/12/2021,SUMMER,224,8,2021,4,9:30,9:45,GLN,GLN1.5,,15:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN11,COM ,9,6/29/2021,6/29/2021,SUMMER,180,6,2021,1,10:30,11:00,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN12,ETL,11,7/2/2021,7/2/2021,SUMMER,183,7,2021,1,10:23,10:53,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
GLN13,ETL,8,7/2/2021,7/2/2021,SUMMER,183,7,2021,2,11:05,11:35,GLN,GLN1.5,,30:00:00,MINUTES,,100,2.4,,,,,,,,"MEA, DAW",,,,,,,,,,
