SPECIES,MAX_LML_LENGTH,MEAN_LML_LENGTH,MAX_AGE,AGE_MATURATION,REPRODUCTION,TEMP AT SPAWNING,SPAWN SEASON
PS,238,75.8,12,2,NEST GUARDER,20,SPRING
SS,150,63.1,7,2,NEST GUARDER,10,SPRING
RS,173,75.8,7,1,OPEN WATER SCATTERER,3,SPRING
WS,580,188,12,2,OPEN WATER SCATTERER,7,SPRING
MM,58.5,94,6,1.5,VEGETATION ,12.5,SPRING
ST,173,36,24,1,BROOD HIDER,7,FALL 
BB,400,202,9,3,NEST GUARDER,18,SPRING
CC,209,82.1,8,2,BROOD HIDER,12,SPRING
CS,217,69.4,6,1,BROOD HIDER,16,SPRING
LT,645,213,50,6,OPEN WATER SCATTERER,12,FALL 
SMB,455,115.9514,,,,,
RWF,445,241.8316,,,,,
