YSAMP_N,NEW_SAMP,MA_ID,WATER,SITE_N,,DATE_SET,DATE_COL,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,TIME_START,TIME_END,GEAR,GEAR_CODE,GEAR_CODE2,EFFORT,EFFORT_UNIT,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLER+AC:AGS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,ANGLER_LOC,PROJECT,COMMENTS,SHB_N,REACH_LENGTH_M,PASS
MWT.TPP.2021.010,MWT.TPP.2021.001,SAMP 10,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:21,MWT,MESH ,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEA, DAW, NSL",NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.007,MWT.TPP.2021.002,SAMP 11,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:24,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEA, DAW, NSL",NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.009,MWT.TPP.2021.003,SAMP 12,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:32,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.008,MWT.TPP.2021.004,SAMP 13,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:34,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.013,MWT.TPP.2021.005,SAMP 14,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:38,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.006,MWT.TPP.2021.006,SAMP 15,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:40,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.014,MWT.TPP.2021.007,SAMP 8 ,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,9:42,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.023,MWT.TPP.2021.008,SAMP 614,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,10:00,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.005,MWT.TPP.2021.009,SAMP 615,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,10:03,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.017,MWT.TPP.2021.010,SAMP 616,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,10:06,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.018,MWT.TPP.2021.011,SAMP 617,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,12:00,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.019,MWT.TPP.2021.012,SAMP 9,TPP,3,,6/25/2021,6/26/2021,SUMMER,NA,NA,2021,NA,18:00,12:50,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.020,MWT.TPP.2021.013,SAMP 6,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,13:00,15:17,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Hole in net,NA,NA,NA
MWT.TPP.2021.021,MWT.TPP.2021.014,SAMP 2,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,12:30,15:27,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.022,MWT.TPP.2021.015,SAMP 4,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,13:00,15:35,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Hole in net,NA,NA,NA
MWT.TPP.2021.001,MWT.TPP.2021.016,SAMP 3 ,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,13:00,17:16,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.002,MWT.TPP.2021.017,SAMP 1,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,12:30,17:19,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.003,MWT.TPP.2021.018,SAMP 43,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,12:30,17:36,MWT,MESH,changed from S1 to S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.004,MWT.TPP.2021.019,SAMP 44,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,12:30,17:44,MWT,MESH,changed from S1 to S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.011,MWT.TPP.2021.020,SAMP 45,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,12:30,17:48,MWT,MESH,changed from S1 to S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.012,MWT.TPP.2021.021,SAMP 5,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,13:00,18:06,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.016,MWT.TPP.2021.022,SAMP 7,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,13:00,18:07,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.015,MWT.TPP.2021.023,SAMP 46,TPP,3,,6/26/2021,6/26/2021,SUMMER,NA,NA,2021,NA,12:30,18:14,MWT,MESH,changed from S1 to S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.037,MWT.TPP.2021.024,SAMP 16,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,8:53,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.042,MWT.TPP.2021.025,SAMP 19,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,8:54,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.045,MWT.TPP.2021.026,SAMP 20,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:36,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.038,MWT.TPP.2021.027,SAMP 21,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:45,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.039,MWT.TPP.2021.028,SAMP 22,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:47,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.040,MWT.TPP.2021.029,SAMP 17,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:49,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,HOLE IN NET ,NA,NA,NA
MWT.TPP.2021.041,MWT.TPP.2021.030,SAMP 23,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:51,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,HOLE IN NET ,NA,NA,NA
MWT.TPP.2021.043,MWT.TPP.2021.031,SAMP 24,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:54,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,HOLE IN NET ,NA,NA,NA
MWT.TPP.2021.044,MWT.TPP.2021.032,SAMP 18,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,9:59,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.024,MWT.TPP.2021.033,SAMP 25,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,17:30,10:06,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.025,MWT.TPP.2021.034,SAMP 26,TPP,2,,6/26/2021,6/27/2021,SUMMER,NA,NA,2021,NA,18:00,10:15,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.026,MWT.TPP.2021.035,SAMP 31,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:15,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.033,MWT.TPP.2021.036,SAMP 27,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:42,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.027,MWT.TPP.2021.037,SAMP 29,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:42,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.035,MWT.TPP.2021.038,SAMP 47,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:45,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.036,MWT.TPP.2021.039,SAMP 30,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:46,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.028,MWT.TPP.2021.040,SAMP 48,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:48,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.029,MWT.TPP.2021.041,SAMP 49,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:50,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.030,MWT.TPP.2021.042,SAMP 50,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,15:52,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.031,MWT.TPP.2021.043,SAMP 51,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,16:00,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.032,MWT.TPP.2021.044,SAMP 28,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,16:05,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.034,MWT.TPP.2021.045,SAMP 52,TPP,2,,6/27/2021,6/27/2021,SUMMER,NA,NA,2021,NA,11:50,16:05,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.046,MWT.TPP.2021.046,SAMP 32,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:04,9:00,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.053,MWT.TPP.2021.047,SAMP 34,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:10,9:01,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.047,MWT.TPP.2021.048,SAMP 40,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:00,9:02,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.050,MWT.TPP.2021.049,SAMP 41,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:00,9:10,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.051,MWT.TPP.2021.050,SAMP 35,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:10,9:12,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.052,MWT.TPP.2021.051,SAMP 36,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:10,9:14,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.054,MWT.TPP.2021.052,SAMP 37,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:10,9:16,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.056,MWT.TPP.2021.053,SAMP 33,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:04,9:24,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.048,MWT.TPP.2021.054,SAMP 38,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:10,9:24,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.049,MWT.TPP.2021.055,SAMP 42,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:00,9:24,MWT,MMT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.055,MWT.TPP.2021.056,SAMP 39,TPP,1,,6/27/2021,6/28/2021,SUMMER,NA,NA,2021,NA,16:10,9:49,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.065,MWT.TPP.2021.057,SAMP 61,TPP,3A,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,14:57,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.066,MWT.TPP.2021.058,SAMP 62,TPP,3A,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,14:57,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.067,MWT.TPP.2021.059,SAMP 63,TPP,3B,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:05,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.068,MWT.TPP.2021.060,SAMP 64,TPP,3B,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:05,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
