YSAMP_N,MA_ID,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,CREW,COMMENTS
MWT.TPP.2021.001,SAMP 10,TPP,3,6/25/2021,6/26/2021,18:00,9:21,SUMMER,26,6,2021,1,15.35,HOURS,MWT,MESH ,,"MEA, DAW, NSL",
MWT.TPP.2021.002,SAMP 11,TPP,3,6/25/2021,6/26/2021,18:00,9:24,SUMMER,26,6,2021,2,15.4,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.003,SAMP 12,TPP,3,6/25/2021,6/26/2021,18:00,9:32,SUMMER,26,6,2021,3,15.53,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.004,SAMP 13,TPP,3,6/25/2021,6/26/2021,18:00,9:34,SUMMER,26,6,2021,4,15.57,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.005,SAMP 14,TPP,3,6/25/2021,6/26/2021,18:00,9:38,SUMMER,26,6,2021,5,15.63,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.006,SAMP 15,TPP,3,6/25/2021,6/26/2021,18:00,9:40,SUMMER,26,6,2021,6,15.67,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.007,SAMP 8 ,TPP,3,6/25/2021,6/26/2021,18:00,9:42,SUMMER,26,6,2021,7,15.7,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.008,SAMP 614,TPP,3,6/25/2021,6/26/2021,18:00,10:00,SUMMER,26,6,2021,8,16,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.009,SAMP 615,TPP,3,6/25/2021,6/26/2021,18:00,10:03,SUMMER,26,6,2021,9,16.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.010,SAMP 616,TPP,3,6/25/2021,6/26/2021,18:00,10:06,SUMMER,26,6,2021,10,16.1,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.011,SAMP 617,TPP,3,6/25/2021,6/26/2021,18:00,12:00,SUMMER,26,6,2021,11,18,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.012,SAMP 9,TPP,3,6/25/2021,6/26/2021,18:00,12:50,SUMMER,26,6,2021,12,18.83,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.013,SAMP 6,TPP,3,6/26/2021,6/26/2021,13:00,15:17,SUMMER,26,6,2021,13,2.28,HOURS,MWT,MMT,,"MEA, DAW, NSL",Hole in net
MWT.TPP.2021.014,SAMP 2,TPP,3,6/26/2021,6/26/2021,12:30,15:27,SUMMER,26,6,2021,14,2.95,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.015,SAMP 4,TPP,3,6/26/2021,6/26/2021,13:00,15:35,SUMMER,26,6,2021,15,2.58,HOURS,MWT,MMT,,"MEA, DAW, NSL",Hole in net
MWT.TPP.2021.016,SAMP 3 ,TPP,3,6/26/2021,6/26/2021,13:00,17:16,SUMMER,26,6,2021,16,4.27,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.017,SAMP 1,TPP,3,6/26/2021,6/26/2021,12:30,17:19,SUMMER,26,6,2021,17,4.82,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.018,SAMP 43,TPP,3,6/26/2021,6/26/2021,12:30,17:36,SUMMER,26,6,2021,18,5.1,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.019,SAMP 44,TPP,3,6/26/2021,6/26/2021,12:30,17:44,SUMMER,26,6,2021,19,5.23,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.020,SAMP 45,TPP,3,6/26/2021,6/26/2021,12:30,17:48,SUMMER,26,6,2021,20,5.3,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.021,SAMP 5,TPP,3,6/26/2021,6/26/2021,13:00,18:06,SUMMER,26,6,2021,21,5.1,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.022,SAMP 7,TPP,3,6/26/2021,6/26/2021,13:00,18:07,SUMMER,26,6,2021,22,5.12,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.023,SAMP 46,TPP,3,6/26/2021,6/26/2021,12:30,18:14,SUMMER,26,6,2021,23,5.73,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.024,SAMP 16,TPP,2,6/26/2021,6/27/2021,17:30,8:53,SUMMER,27,6,2021,1,15.38,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.025,SAMP 19,TPP,2,6/26/2021,6/27/2021,17:30,8:54,SUMMER,27,6,2021,2,15.4,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.026,SAMP 20,TPP,2,6/26/2021,6/27/2021,17:30,9:36,SUMMER,27,6,2021,3,16.1,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.027,SAMP 21,TPP,2,6/26/2021,6/27/2021,17:30,9:45,SUMMER,27,6,2021,4,16.25,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.028,SAMP 22,TPP,2,6/26/2021,6/27/2021,17:30,9:47,SUMMER,27,6,2021,5,16.28,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.029,SAMP 17,TPP,2,6/26/2021,6/27/2021,17:30,9:49,SUMMER,27,6,2021,6,16.32,HOURS,MWT,MMT,,"MEA, DAW, NSL",HOLE IN NET 
MWT.TPP.2021.030,SAMP 23,TPP,2,6/26/2021,6/27/2021,17:30,9:51,SUMMER,27,6,2021,7,16.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",HOLE IN NET 
MWT.TPP.2021.031,SAMP 24,TPP,2,6/26/2021,6/27/2021,17:30,9:54,SUMMER,27,6,2021,8,16.4,HOURS,MWT,MESH,,"MEA, DAW, NSL",HOLE IN NET 
MWT.TPP.2021.032,SAMP 18,TPP,2,6/26/2021,6/27/2021,17:30,9:59,SUMMER,27,6,2021,9,16.48,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.033,SAMP 25,TPP,2,6/26/2021,6/27/2021,17:30,10:06,SUMMER,27,6,2021,10,16.6,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.034,SAMP 26,TPP,2,6/26/2021,6/27/2021,18:00,10:15,SUMMER,27,6,2021,11,16.25,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.035,SAMP 31,TPP,2,6/27/2021,6/27/2021,11:50,15:15,SUMMER,27,6,2021,12,3.42,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.036,SAMP 27,TPP,2,6/27/2021,6/27/2021,11:50,15:42,SUMMER,27,6,2021,13,3.87,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.037,SAMP 29,TPP,2,6/27/2021,6/27/2021,11:50,15:42,SUMMER,27,6,2021,14,3.87,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.038,SAMP 47,TPP,2,6/27/2021,6/27/2021,11:50,15:45,SUMMER,27,6,2021,15,3.92,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.039,SAMP 30,TPP,2,6/27/2021,6/27/2021,11:50,15:46,SUMMER,27,6,2021,16,3.94,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.040,SAMP 48,TPP,2,6/27/2021,6/27/2021,11:50,15:48,SUMMER,27,6,2021,17,3.97,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.041,SAMP 49,TPP,2,6/27/2021,6/27/2021,11:50,15:50,SUMMER,27,6,2021,18,4,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.042,SAMP 50,TPP,2,6/27/2021,6/27/2021,11:50,15:52,SUMMER,27,6,2021,19,4.04,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.043,SAMP 51,TPP,2,6/27/2021,6/27/2021,11:50,16:00,SUMMER,27,6,2021,20,4.17,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.044,SAMP 28,TPP,2,6/27/2021,6/27/2021,11:50,16:05,SUMMER,27,6,2021,21,4.97,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.045,SAMP 52,TPP,2,6/27/2021,6/27/2021,11:50,16:05,SUMMER,27,6,2021,22,4.97,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.046,SAMP 32,TPP,1,6/27/2021,6/28/2021,16:04,9:00,SUMMER,28,6,2021,1,16.3,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.047,SAMP 34,TPP,1,6/27/2021,6/28/2021,16:10,9:01,SUMMER,28,6,2021,2,17.03,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.048,SAMP 40,TPP,1,6/27/2021,6/28/2021,16:00,9:02,SUMMER,28,6,2021,3,17.3,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.049,SAMP 41,TPP,1,6/27/2021,6/28/2021,16:00,9:10,SUMMER,28,6,2021,4,17.17,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.050,SAMP 35,TPP,1,6/27/2021,6/28/2021,16:10,9:12,SUMMER,28,6,2021,5,17.03,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.051,SAMP 36,TPP,1,6/27/2021,6/28/2021,16:10,9:14,SUMMER,28,6,2021,6,17.06,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.052,SAMP 37,TPP,1,6/27/2021,6/28/2021,16:10,9:16,SUMMER,28,6,2021,7,17.1,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.053,SAMP 33,TPP,1,6/27/2021,6/28/2021,16:04,9:24,SUMMER,28,6,2021,8,16.7,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.054,SAMP 38,TPP,1,6/27/2021,6/28/2021,16:10,9:24,SUMMER,28,6,2021,9,17.23,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.055,SAMP 42,TPP,1,6/27/2021,6/28/2021,16:00,9:24,SUMMER,28,6,2021,10,17.4,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.TPP.2021.056,SAMP 39,TPP,1,6/27/2021,6/28/2021,16:10,9:49,SUMMER,28,6,2021,11,17.65,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.057,SAMP 61,TPP,3A,8/19/2021,8/20/2021,13:30,14:57,SUMMER,20,8,2021,1,25.45,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.058,SAMP 62,TPP,3A,8/19/2021,8/20/2021,13:30,14:57,SUMMER,20,8,2021,2,25.45,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.059,SAMP 63,TPP,3B,8/19/2021,8/20/2021,13:30,15:05,SUMMER,20,8,2021,3,26.3,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.060,SAMP 64,TPP,3B,8/19/2021,8/20/2021,13:30,15:05,SUMMER,20,8,2021,4,26.3,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.061,SAMP 59,TPP,3C,8/19/2021,8/20/2021,13:30,15:12,SUMMER,20,8,2021,5,25.7,HOURS,MWT,MPT,,"MEA, DAW, NSL",HOLE IN NET
MWT.TPP.2021.062,SAMP 60,TPP,3C,8/19/2021,8/20/2021,13:30,15:12,SUMMER,20,8,2021,6,25.7,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.063,SAMP 57,TPP,2C,8/19/2021,8/20/2021,13:30,15:30,SUMMER,20,8,2021,7,26,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.064,SAMP 58,TPP,2C,8/19/2021,8/20/2021,13:30,15:30,SUMMER,20,8,2021,8,26,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.065,SAMP 53,TPP,2B ,8/19/2021,8/20/2021,13:30,15:35,SUMMER,20,8,2021,9,26.08,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.066,SAMP 54,TPP,2B ,8/19/2021,8/20/2021,13:30,15:35,SUMMER,20,8,2021,10,26.08,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.067,SAMP 55,TPP,2A,8/19/2021,8/20/2021,13:30,15:41,SUMMER,20,8,2021,11,26.18,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.068,SAMP 56,TPP,2A,8/19/2021,8/20/2021,13:30,15:41,SUMMER,20,8,2021,12,26.18,HOURS,MWT,MPT,,"MEA, DAW, NSL",HOLE IN NET REMOVED TO SEW
MWT.TPP.2021.069,SAMP 65,TPP,1A,8/20/2021,8/20/2021,16:00,16:13,SUMMER,20,8,2021,13,0.22,HOURS,MWT,MESH,,"MEA, DAW, NSL",
