"rowid","lakeid","afrp_abbrev","name"
"1","1","LML","Little Moose - Temp String"
"2","2","WTL","Wilmurt"
"3","3","PRL","Panther"
"4","4","ETL","East"
"5","5","RKL","Rock Lake - Temp String"
"6","6","RKP","Rock Pond"
"7","7","FBL","First Bisby - Temp String"
"8","8","GNL","Green"
"9","9","MNP","Mountain"
"10","10","TRP","Taylor"
"11","11","CAL","Canachagala"
"12","12","PEP","Pinchnose "
"13","13","POL","Pico"
"14","14","FOB","Fourth Bisby"
"15","15","LSP","Lower Sylvan"
"18","16","LML","Little Moose - DO String"
"19","17","RKL","Rock Lake - DO String"
"20","18","FBL","First Bisby - DO String"
"21","19",,"Honnedaga"
