YSAMP,MTS_N,GROUP,ORDER (OR ABOVE),FAMILY,GENUS,SPECIES,LIFE STAGE,TOTAL_N,VOUCHER,ISOTOPE,NOTES,
DPN.GNL.2023.002,OD.GNL.2023.001,,Odonata,Libellulidae,Celithemis,,larval,1,0,1,,
DPN.GNL.2023.002,MO.GNL.2023.002,,Gastropoda ,Planorbidae,Planorbella,trivolvis,adult,1,0,1,,
DPN.GNL.2023.002,DI.GNL.2023.003,,Diptera,chironomidae,,,larval,13,0,1,,
DPN.GNL.2023.002,DI.GNL.2023.004,,Diptera,Tibanidae,Merycomyia,,larval,1,0,1,,
DPN.GNL.2023.002,ME.GNL.2023.005,,Megaloptera ,Sialidae ,,,larval,2,0,1,,
DPN.GNL.2023.001,DI.GNL.2023.006,,Diptera,Tibanidae,Merycomyia,,larval,1,0,1,,
DPN.GNL.2023.001,DI.GNL.2023.007,,Diptera,chironomidae,,,larval,1,0,1,,
DPN.GNL.2023.001,DI.GNL.2023.008,,Diptera,Ceratopogonidae,"Bezzia, Palpomyia",,larval ,1,0,1,,
DPN.GNL.2023.001,OD.GNL.2023.009,,Odonata,Libellulidae,Libellula,,larval ,1,0,1,,
DPN.GNL.2023.001,HE.GNL.2023.010,,Hemiptera,Corixidae ,Trichocorixia,,adult,1,0,1,,
DPN.GNL.2023.001,HE.GNL.2023.010,,Hemiptera,Gerridae,Trepobates,,adult,1,0,1,,
DPN.GNL.2023.001,MO.GNL.2023.011,,Bivalvia,Sphaeriidae,Pisidium,,adult,2,0,1,,
SHS.GNL.2023.001,OD.GNL.2023.012,,Odonata,Aeshnidae ,Boyeria,,larval,1,0,1,,
SHS.GNL.2023.001,OD.GNL.2023.013,,Odonata,Aeshnidae ,Boyeria,,larval,1,0,1,,
SHS.MSL.2023.001,OD.MSL.2023.014,,Odonata,Corduliidae,Neurocordulia,,larval,1,0,1,,
SHS.MSL.2023.001,OD.MSL.2023.015,,Odonata,Corduliidae,Neurocordulia,,larval,1,0,1,,
SHS.MSL.2023.001,OD.MSL.2023.016,,Odonata,Corduliidae,Neurocordulia,,larval,1,0,1,,
SHS.MSL.2023.001,OD.MSL.2023.017,,Odonata,Corduliidae,Neurocordulia,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.018,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.019,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.020,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.021,,ephemeroptera,Heptageniidae,Stenacron,,larval,2,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.022,,ephemeroptera,Leptophlebiidae,Habrophleboides,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.023,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.024,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.025,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.026,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.027,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.028,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.029,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.030,,ephemeroptera,Heptageniidae,Stenonema,,larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.031,,ephemeroptera,Leptophlebiidae,,,Larval,1,0,1,,
SHS.MSL.2023.001,EP.MSL.2023.032,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
