YSAMP,SAMP_N,GROUP,MONTH
DPN.GNL.2023.002,OD.GNL.2023.001,MACROINVERTEBRATES,
DPN.GNL.2023.002,MO.GNL.2023.002,MACROINVERTEBRATES,
DPN.GNL.2023.002,DI.GNL.2023.003,MACROINVERTEBRATES,
DPN.GNL.2023.002,DI.GNL.2023.004,MACROINVERTEBRATES,
DPN.GNL.2023.002,ME.GNL.2023.005,MACROINVERTEBRATES,
DPN.GNL.2023.001,DI.GNL.2023.006,MACROINVERTEBRATES,
DPN.GNL.2023.001,DI.GNL.2023.007,MACROINVERTEBRATES,
DPN.GNL.2023.001,DI.GNL.2023.008,MACROINVERTEBRATES,
DPN.GNL.2023.001,OD.GNL.2023.009,MACROINVERTEBRATES,
DPN.GNL.2023.001,HE.GNL.2023.010,MACROINVERTEBRATES,
DPN.GNL.2023.001,HE.GNL.2023.010.002,MACROINVERTEBRATES,
DPN.GNL.2023.001,MO.GNL.2023.011,MACROINVERTEBRATES,
SHS.GNL.2023.001,OD.GNL.2023.012,MACROINVERTEBRATES,
SHS.GNL.2023.001,OD.GNL.2023.013,MACROINVERTEBRATES,
SHS.MSL.2023.001,OD.MSL.2023.014,MACROINVERTEBRATES,
SHS.MSL.2023.001,OD.MSL.2023.015,MACROINVERTEBRATES,
SHS.MSL.2023.001,OD.MSL.2023.016,MACROINVERTEBRATES,
SHS.MSL.2023.001,OD.MSL.2023.017,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.018,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.019,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.020,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.021,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.022,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.023,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.024,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.025,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.026,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.027,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.028,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.029,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.030,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.031,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.032,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.033,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.034,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.035,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.036,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.037,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.038,MACROINVERTEBRATES,
SHS.MSL.2023.001,EP.MSL.2023.039,MACROINVERTEBRATES,
SHS.MSL.2023.001,AM.MSL.2023.040,MACROINVERTEBRATES,
DPN.MSL.2023.001,AM.MSL.2023.041,MACROINVERTEBRATES,
DPN.MSL.2023.001,AM.MSL.2023.042,MACROINVERTEBRATES,
DPN.MSL.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.MSL.2023.001,MO.MSL.2023.043,MACROINVERTEBRATES,
DPN.MSL.2023.001,OD.MSL.2023.044,MACROINVERTEBRATES,
DPN.MSL.2023.001,OD.MSL.2023.045,MACROINVERTEBRATES,
DPN.MSL.2023.001,OD.MSL.2023.046,MACROINVERTEBRATES,
DPN.MSL.2023.001,OD.MSL.2023.047,MACROINVERTEBRATES,
