YSAMP,WATER,SITE_N,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,PROJECT,COMMENTS,SHB_N,REACH_LENGTH
DPN.GNL.2023.002,GNL,Dock,,,,,,8,2023,2,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.GNL.2023.001,GNL,GNL.001,,,,,,8,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.GNL.2023.001,GNL,GNL.001,,,,,,8,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.MSL.2023.001,MOSS,MOSS.003,,,,,,5,2023,3,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.MSL.2023.001,MOSS,MOSS.003,,,,,,5,2023,3,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.LML.2023.001,LML,LML.018,,,,,,8,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.ETL.2023.002,ETL,Outlet ,,,,,,9,2023,2,1,,SHS,didn't have that written down assigned ,,,,,,,,,,,,,,,,,
DPN.ETL.2023.001,ETL,ETL.001,,,,,,9,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.ETL.2023.002,ETL,Outlet,,,,,,9,2023,2,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.LML.2023.002,LML,Outlet,,,,,,9,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.LML.2023.002,LML,Outlet,,,,,,9,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.LML.2023.001,LML,LML.018,,,,,,9,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.COM.2023.001,COM,COM.NS.005,,,,,,9,2023,1,1,,SHS,NO BUGS,,,,,,,,,,,,,,,,,
SHS.COM.2023.002,COM,COM.NS.001,,,,,,9,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
