FINESCALE_ID,ID_1,ID_2,TYPE,N_IND,ORDER,FAMILY,GENUS,SPECIES,ETH_A,SI_A,RESOLUTION,
Aeshna,A,1,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,2,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,3,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,4,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,5,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,6,AB,1,Odonata,Aeshnidae,Aeshna,NA,0,1,Genus,
Aeshna,A,7,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,8,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,9,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,10,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,11,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,12,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,13,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,14,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,15,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,16,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,17,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Aeshna,A,18,AB,0,Odonata,Aeshnidae,Aeshna,NA,0,0,Genus,
Agrypnia,A,1,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,2,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,3,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,4,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,5,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,6,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,7,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,8,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,9,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,10,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,11,AB,1,Trichoptera,Phryganeidae,Agrypnia,NA,1,0,Genus,
Agrypnia,A,12,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,13,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,14,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,15,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,16,AB,1,Trichoptera,Phryganeidae,Agrypnia,NA,1,0,Genus,
Agrypnia,A,17,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Agrypnia,A,18,AB,0,Trichoptera,Phryganeidae,Agrypnia,NA,0,0,Genus,
Argia,A,1,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,2,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,3,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,4,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,5,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,6,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,7,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,8,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,9,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,10,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,11,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,12,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,13,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,14,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,15,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,16,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
Argia,A,17,AB,0,Odonata,Coenagrionidae,Argia,NA,0,0,Genus,
