SAMP_ID,SAMP_LAT_N,SAMP_LON_W,SAMP_DEP,SAMP_TYPE,BEF_ID,OWNER_ID,HD_D_DATE,DNET_BLOCK,,,
A1,43.69479,74.91177,12,LOG_T,5,ALC,7/21/2023,1,,,
A2,43.69411,74.91135,12,LOG_T,5,ALC,7/21/2023,1,,,
A3,43.69232,74.91531,38,LOG_T,8,ALC,7/21/2023,1,,,
A4,43.69028,74.91727,22,LOG_T,9,ALC,7/21/2023,1,,,
A5,43.68819,74.91742,20,LOG_T,10,ALC,7/21/2023,2,,,
A6,43.68834,74.91721,16,LOG_T,10,ALC,7/21/2023,2,,,
A7,43.68767,74.90304,15,LOG_T,15,ALC,7/21/2023,2,,,
A8,43.68660,74.90409,28,LOG_T,16,ALC,7/21/2023,2,,,
A9,43.68616,74.90459,12,LOG_T,17,ALC,7/21/2023,2,,,
A10,43.68556,74.90617,20,LOG_T,18,ALC,7/21/2023,2,,,
A11,43.68526,74.90630,12,LOG_T,18,ALC,7/21/2023,2,,,
A12,43.68679,74.91785,10,LOG_T,21,ALC,7/21/2023,2,,,
A13,43.68628,74.92428,14,LOG_T,23,ALC,7/21/2023,3,,,
A14,43.68407,74.93395,14,LOG_T,25,ALC,7/21/2023,3,,,
A15,43.68118,74.93553,16,LOG_T,26,ALC,7/21/2023,3,,,
A16,43.67783,74.93732,20,LOG_T,28,ALC,7/21/2023,3,,,
A17,43.68021,74.93802,18,LOG_T,29,ALC,7/21/2023,4,,,
A18,43.68879,74.93650,14,LOG_T,31,ALC,7/21/2023,4,,,
B1,43.69479,74.91177,12,LOG_C,5,ALC,7/21/2023,1,,,
B2,43.69411,74.91135,12,LOG_C,5,ALC,7/21/2023,1,,,
B3,43.69232,74.91531,38,LOG_C,8,ALC,7/21/2023,1,,,
B4,43.69028,74.91727,22,LOG_C,9,ALC,7/21/2023,1,,,
B5,43.68819,74.91742,20,LOG_C,10,ALC,7/21/2023,2,,,
B6,43.68834,74.91721,16,LOG_C,10,ALC,7/21/2023,2,,,
B7,43.68767,74.90304,15,LOG_C,15,ALC,7/21/2023,2,,,
B8,43.68660,74.90409,28,LOG_C,16,ALC,7/21/2023,2,,,
B9,43.68616,74.90459,12,LOG_C,17,ALC,7/21/2023,2,,,
B10,43.68556,74.90617,20,LOG_C,18,ALC,7/21/2023,2,,,
B11,43.68526,74.90630,12,LOG_C,18,ALC,7/21/2023,2,,,
B12,43.68679,74.91785,10,LOG_C,21,ALC,7/21/2023,2,,,
B13,43.68628,74.92428,14,LOG_C,23,ALC,7/21/2023,3,,,
B14,43.68407,74.93395,14,LOG_C,25,ALC,7/21/2023,3,,,
B15,43.68118,74.93553,16,LOG_C,26,ALC,7/21/2023,3,,,
B16,43.67783,74.93732,20,LOG_C,28,ALC,7/21/2023,3,,,
B17,43.68021,74.93802,18,LOG_C,29,ALC,7/21/2023,4,,,
B18,43.68879,74.93650,14,LOG_C,31,ALC,7/21/2023,4,,,
C1,43.69733,74.92641,12,RAMP_T,31,MAJESKI,7/24/2023,4,,,
C2,43.69456,74.93086,18,RAMP_T,31,DYETT,7/24/2023,4,,,
C3,43.68821,74.93671,26,RAMP_T,31,CLUTE,7/24/2023,4,,,
C4,43.68628,74.93792,14,RAMP_T,31,SLINGLUFF,7/24/2023,4,,,
C5,43.68120,74.93845,10,RAMP_T,31,HAMILL (L),7/24/2023,4,,,
C6,43.67841,74.93858,10,RAMP_T,28,BERTINE (L),7/24/2023,3,,,
C7,43.67808,74.93723,8,RAMP_T,28,BERTINE (C),7/24/2023,3,,,
C8,43.68093,74.93590,16,RAMP_T,27,HAMILL (C),7/24/2023,3,,,
C9,43.68635,74.92347,16,RAMP_T,22,ALC,7/24/2023,3,,,
C10,43.68635,74.92144,14,RAMP_T,22,HUSKINS,7/24/2023,3,,,
C11,43.68699,74.90369,34,RAMP_T,16,FALCO,7/24/2023,2,,,
C12,43.69393,74.91407,12,RAMP_T,5,PRICE,7/24/2023,1,,,
C13,43.69530,74.91195,8,RAMP_T,4,SHORTS,7/24/2023,1,,,
C14,43.69645,74.91186,10,RAMP_T,4,SHORTS,7/24/2023,1,,,
C15,43.69973,74.91460,10,RAMP_T,4,FALCK,7/24/2023,1,,,
C16,43.69973,74.92071,12,RAMP_T,2,GENUNG,7/24/2023,1,,,
C17,43.69901,74.92230,16,RAMP_T,2,WEBSTER,7/24/2023,4,,,
C18,43.69872,74.92284,12,RAMP_T,2,JOHNSON,7/24/2023,4,,,
D1,43.69733,74.92641,12,RAMP_C,31,MAJESKI,7/24/2023,4,,,
D2,43.69456,74.93086,18,RAMP_C,31,DYETT,7/24/2023,4,,,
D3,43.68821,74.93671,26,RAMP_C,31,CLUTE,7/24/2023,4,,,
D4,43.68628,74.93792,14,RAMP_C,31,SLINGLUFF,7/24/2023,4,,,
D5,43.68120,74.93845,10,RAMP_C,31,HAMILL (L),7/24/2023,4,,,
D6,43.67841,74.93858,10,RAMP_C,28,BERTINE (L),7/24/2023,3,,,
D7,43.67808,74.93723,8,RAMP_C,28,BERTINE (C),7/24/2023,3,,,
D8,43.68093,74.93590,16,RAMP_C,27,HAMILL (C),7/24/2023,3,,,
D9,43.68635,74.92347,16,RAMP_C,22,ALC,7/24/2023,3,,,
D10,43.68635,74.92144,14,RAMP_C,22,HUSKINS,7/24/2023,3,,,
D11,43.68699,74.90369,34,RAMP_C,16,FALCO,7/24/2023,2,,,
D12,43.69393,74.91407,12,RAMP_C,5,PRICE,7/24/2023,1,,,
D13,43.69530,74.91195,8,RAMP_C,4,SHORTS,7/24/2023,1,,,
D14,43.69645,74.91186,10,RAMP_C,4,SHORTS,7/24/2023,1,,,
D15,43.69973,74.91460,10,RAMP_C,4,FALCK,7/24/2023,1,,,
D16,43.69973,74.92071,12,RAMP_C,2,GENUNG,7/24/2023,1,,,
D17,43.69901,74.92230,16,RAMP_C,2,WEBSTER,7/24/2023,4,,,
D18,43.69872,74.92284,12,RAMP_C,2,JOHNSON,7/24/2023,4,,,
,,,,,,,,,,,
,,,,,,,,,,,
