"","YSAMP_N","GEN_WHOLE","FISH_N","MA_ID","GEN_N","SPECIES","LENGTH","WEIGHT","SEX","MAT","CLIP_R","CLIP_A","TCLIP_R","TCLIP_A","TAG_R","TAG_A","TAG_TYPE","TAG_COLOR","TAG2_R","TAG2_A","TAG2_TYPE","TAG2_COLOR","WHOLE_FISH","SCALE","BIOP","GAS_LAV","FIN","BLOOD","GUT","HEAD","OTOLITH","MAXILLA","OPERCULAR","TISS_SAMP","DRY_W","GOD","DISEASE","PIC","ARCH","ARCH_N","REMOVED","DEAD","MOLT_S","PANEL_N","COMMENTS","OLD_YSAMP_N","STATUS","TAG_CLAR","TAG_MIGR","TAG_FRAG","TAG_CLAR_SHRD","TAG_MIGR_SHRD","TAG_FRAG_SHRD","STK_N","ORIGIN","STR","YR_CL","AGE","AGE_TECH","AGED_BY"
"1","MWT.TPP.2021.017","GS_TPP_06262021_MWT_010","GS_TPP_06262021_MWT_005","SAMP 1","408","GS","66","2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MWT.TPP.2021.017",NA,NA,"SAMP 1","","GS","11",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MWT.TPP.2021.017",NA,NA,"SAMP 1","","BB","88",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MWT.TPP.2021.017",NA,NA,"SAMP 1","","GS","85",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MWT.TPP.2021.017","GS_TPP_06262021_MWT_011","GS_TPP_06262021_MWT_006","SAMP 1","406","GS","81",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MWT.TPP.2021.017",NA,NA,"SAMP 1","","BB","99",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MWT.TPP.2021.017",NA,NA,"SAMP 1","","GS","79",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MWT.TPP.2021.017",NA,NA,"SAMP 1","","BB","89",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MWT.TPP.2021.017",NA,NA,"SAMP 1","","BB","98",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MWT.TPP.2021.017",NA,NA,"SAMP 1","","BB","96",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
