FISH_N,STRUCT_1_AGE_READER_1,STRUCT_1_AGE_READER_2,STRUCT_2_AGE_READER_1,STRUCT_2_AGE_READER_2,REAL_AGE,FINAL_AGE,YEAR_CLASS_FINAL_AGE,READER_1,READER_2,STRUCTURE,SECTION,MEASUREMENT_AXIS,PICTURE_ID1,PICTURE_ID2,PICTURE_ID3,F-E,F-A1,A1-A2,A2-A3,A3-A4,A4-A5,A5-A6,A6-A7,A7-A8,A8-A9,A9-A10,LA-E,CLEAR_ZONE,COMMENTS
B7547,18,,,,,18,1979,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
B7552,16,,,,,16,1981,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
BT.SMR.081007.RANG.001,4,,,,,4,2003,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
CO.WLL.081417.RANG.001,6,9,7,7,,7,2010,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7113,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7144,4,,,,,4,1996,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7150,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7151,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7155,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7162,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7164,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7175,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7184,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7193,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7195,1,,,,,1,1999,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.FBL.051410.BEF.001,1,1,,,,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.051916.BEF.001,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,2nd annulus forming at the edge
LLS.LML.051916.BEF.001.R,1,1,,,,1,2015,KJJ,EAB,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.060617.BEF.001,3,3,,,,3,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LLS.LML.072210.GLN.001,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.072210.GLN.002,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.072210.GLN.003,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.081317.RANG.001,3,3,,,,3,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.091917.BEF.001,1,1,,,,1,2016,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.102318.TPN.001,1,1,,,,1,2017,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.002,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.003,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
