Sample ID,d15N,d13C
278.00,7.89,-28.15
287.00,7.92,-29.52
365.00,9.41,-33.08
3.00,7.28,-29.48
4.00,5.58,-28.47
5.00,6.24,-29.87
7.00,6.24,-27.67
9.00,6.85,-28.03
10.00,7.08,-28.81
15.00,6.37,-30.88
17.00,6.46,-29.5
21.00,7.38,-28.81
22.00,8.09,-34.17
23.00,6.57,-29.71
26.00,7.4,-29.63
27.00,7.39,-29.62
29.00,6.8,-30.05
30.00,6.78,-29.28
31.00,6.44,-29.04
32.00,7.34,-30.03
33.00,7.98,-30.58
34.00,7.14,-30.32
35.00,7.01,-26.79
36.00,7.26,-28.45
38.00,7.16,-29.78
41.00,6.25,-27.47
44.00,6.03,-27.74
45.00,7.14,-27.97
46.00,7.47,-29.31
49.00,7.15,-28.82
50.00,6.79,-30.77
51.00,7.3,-29.25
52.00,6.73,-28.64
54.00,7.04,-31.63
55.00,6.77,-32.06
59.00,7.73,-31.93
66.00,7.7,-31.56
67.00,7.16,-29.78
68.00,8.08,-31.75
69.00,7.77,-31.08
88.00,4.47,-30.12
122.00,6.96,-30.03
123.00,6.92,-28.06
124.00,6.19,-26.34
125.00,5.94,-26.36
126.00,4.77,-26.35
127.00,6.68,-26.16
128.00,6.48,-27.15
129.00,9.1,-24.91
130.00,6.22,-25.54
131.00,6.77,-25.22
132.00,8.1,-25.65
133.00,6.38,-25.72
134.00,6.51,-27.14
135.00,5.84,-27.48
136.00,6.03,-26.95
137.00,6.08,-24.03
138.00,6.2,-26.4
139.00,5.98,-27.62
140.00,6.72,-27.17
141.00,6.31,-24.26
142.00,5.89,-27.02
143.00,8.38,-28.33
144.00,8.12,-27.28
145.00,5.56,-31.55
146.00,7.61,-27.3
147.00,6.94,-28.85
148.00,6.15,-30.02
150.00,6.1,-26.69
151.00,6.31,-25.71
152.00,6.31,-26.53
153.00,7.41,-26.07
154.00,6.67,-26.41
155.00,7.79,-25.14
156.00,6.6,-26.45
158.00,5.98,-25.78
159.00,8.03,-24.54
160.00,6.64,-26.36
161.00,6.41,-24.77
162.00,7.5,-26.5
163.00,5.92,-27.13
164.00,5.55,-26.81
165.00,5.26,-26.25
166.00,8.55,-27.76
167.00,7.37,-27.31
168.00,6.36,-29.16
170.00,6.15,-29.17
172.00,6.54,-27.15
173.00,6.69,-28.2
174.00,5.92,-27.28
175.00,6.53,-27.2
0175 duplicate ID,6.53,-27.34
176.00,5.17,-28.71
177.00,5.8,-27.41
178.00,7.05,-26.74
179.00,6.74,-27.29
180.00,6.39,-27.44
181.00,5.64,-27.68
182.00,5.69,-29.16
183.00,4.94,-29.36
185.00,5.55,-29.52
186.00,5.41,-28.78
187.00,6.05,-27.39
188.00,5.93,-26.79
189.00,7.45,-28.94
190.00,7.39,-29.32
191.00,7.03,-27.86
192.00,7.07,-28.71
193.00,7.34,-29.04
194.00,6.95,-28.88
195.00,7.1,-31.32
196.00,6.27,-29.15
197.00,6.4,-28.25
198.00,4.4,-29.55
199.00,7.37,-29.61
200.00,5.72,-26.49
201.00,5.36,-34.58
202.00,5.43,-33.91
203.00,5.97,-32.24
204.00,5.65,-26.04
209.00,6.84,-28.4
223.00,7.78,-27.15
224.00,7.61,-29.46
227.00,7.59,-24.99
230.00,8.92,-22.84
238.00,8.12,-25.38
242.00,7.8,-24.92
244.00,8.11,-23.59
246.00,9.75,-23.95
