Year,ID,Species,CPUE
1998,001_PS,PS,0.006426784
1998,002_PS,PS,0.000499002
1998,004_PS,PS,0.002076843
1998,005_PS,PS,0.008352538
1998,006_PS,PS,0.00284657
1998,007_PS,PS,0.004851752
1998,008_PS,PS,0.000732332
1998,009_PS,PS,0.013057411
1998,011_PS,PS,0.004697775
1998,014_PS,PS,0.003709592
1998,019_PS,PS,0.006355909
1998,021_PS,PS,0.004038296
1998,022_PS,PS,0.00536188
1998,026_PS,PS,0.004397466
1998,030_PS,PS,0.002502927
1998,031_PS,PS,0.001288238
1999,005_PS,PS,0.012987013
1999,008_PS,PS,0.00166713
1999,011_PS,PS,0.001658833
1999,015_PS,PS,0.000288351
1999,021_PS,PS,0.001043841
1999,022_PS,PS,0.006932409
2000,001_PS,PS,0.003613621
2000,003_PS,PS,0.001111132
2000,005_PS,PS,0.028796551
2000,006_PS,PS,0.008590614
2000,007_PS,PS,0.000636229
2000,008_PS,PS,0.001404752
2000,009_PS,PS,0.002599534
2000,010_PS,PS,0.009172391
2000,011_PS,PS,0.001802679
2000,012_PS,PS,0.002398082
2000,013_PS,PS,0.006025592
2000,014_PS,PS,0.01158141
2000,015_PS,PS,0.004147333
2000,016_PS,PS,0.004020075
2000,017_PS,PS,0.006859138
2000,019_PS,PS,0.012211913
2000,020_PS,PS,0.01068395
2000,021_PS,PS,0.006711527
2000,022_PS,PS,0.002887889
2000,023_PS,PS,0.003066031
2000,024_PS,PS,0.005717043
2000,025_PS,PS,0.007202827
2000,026_PS,PS,0.005061552
2000,027_PS,PS,0.007393915
2000,028_PS,PS,0.007275132
2000,029_PS,PS,0.000793651
2000,031_PS,PS,0.000668559
2001,001_PS,PS,0.02073368
2001,002_PS,PS,0.001642036
2001,003_PS,PS,0.001808219
2001,004_PS,PS,0.005130481
2001,005_PS,PS,0.048676901
2001,006_PS,PS,0.020613435
2001,007_PS,PS,0.005118136
2001,008_PS,PS,0.003418206
2001,009_PS,PS,0.002701496
2001,010_PS,PS,0.014883961
2001,011_PS,PS,0.005689719
2001,012_PS,PS,0.009491111
2001,013_PS,PS,0.009812503
2001,014_PS,PS,0.014368639
2001,015_PS,PS,0.012259111
2001,016_PS,PS,0.008205176
2001,017_PS,PS,0.010342112
2001,018_PS,PS,0.027958216
2001,019_PS,PS,0.012335876
2001,020_PS,PS,0.013005913
2001,022_PS,PS,0
2001,023_PS,PS,0.000603136
2001,024_PS,PS,0.006929328
2001,025_PS,PS,0.009675436
2001,026_PS,PS,0.010349528
2001,027_PS,PS,0.008734601
2001,028_PS,PS,0.007190882
2001,029_PS,PS,0.002666667
2001,030_PS,PS,0
2001,031_PS,PS,0.001675681
2002,001_PS,PS,0.043002002
2002,003_PS,PS,0
2002,004_PS,PS,0
2002,005_PS,PS,0.036599764
2002,006_PS,PS,0.006872659
2002,007_PS,PS,0
2002,008_PS,PS,0.001628664
2002,009_PS,PS,0.000856164
2002,010_PS,PS,0.016075845
2002,011_PS,PS,0.003393665
2002,013_PS,PS,0.000919118
2002,014_PS,PS,0.008935155
2002,015_PS,PS,0.004115226
2002,017_PS,PS,0.005882353
2002,026_PS,PS,0.007961783
2002,030_PS,PS,0.004356679
2003,001_PS,PS,0.047803618
2003,002_PS,PS,0.001410437
2003,003_PS,PS,0
2003,004_PS,PS,0.007633588
2003,005_PS,PS,0.062745098
2003,006_PS,PS,0.010344828
2003,007_PS,PS,0.002043597
2003,008_PS,PS,0.00233827
2003,009_PS,PS,0.005617978
2003,010_PS,PS,0.042996743
2003,011_PS,PS,0.011284722
2003,012_PS,PS,0.026086957
2003,013_PS,PS,0.061904762
2003,014_PS,PS,0.053144376
2003,015_PS,PS,0.026845638
2003,016_PS,PS,0.008536585
2003,017_PS,PS,0.033333333
2003,018_PS,PS,0.022857143
2003,019_PS,PS,0.020446097
2003,020_PS,PS,0.033368092
2003,021_PS,PS,0.013953488
2003,022_PS,PS,0.00297619
2003,023_PS,PS,0
2003,024_PS,PS,0.016
2003,025_PS,PS,0.025887574
2003,026_PS,PS,0.007672634
2003,027_PS,PS,0.032460733
2003,028_PS,PS,0.010526316
2003,029_PS,PS,0
2003,030_PS,PS,0.004166667
2003,031_PS,PS,0.009654472
2003,032_PS,PS,0.019920319
2004,001_PS,PS,0.045774648
2004,002_PS,PS,0
2004,003_PS,PS,0
2004,004_PS,PS,0
2004,005_PS,PS,0.049847406
2004,006_PS,PS,0.008591065
2004,007_PS,PS,0
2004,008_PS,PS,0.001234568
2004,009_PS,PS,0.003007519
2004,010_PS,PS,0.011302211
2004,011_PS,PS,0.007462687
2004,012_PS,PS,0.007797271
2004,013_PS,PS,0.00872093
2004,014_PS,PS,0.010471204
2004,015_PS,PS,0.008438819
2004,016_PS,PS,0.01875
2004,017_PS,PS,0
2004,018_PS,PS,0.00591716
2004,019_PS,PS,0.042207792
2004,020_PS,PS,0.013278856
2004,021_PS,PS,0.046025105
2004,022_PS,PS,0
2004,023_PS,PS,0.001193317
2004,024_PS,PS,0
2004,025_PS,PS,0.003030303
2004,026_PS,PS,0.007159905
