ST,CS,CC,WS,NRD,PS,LMB,SMB,lake.richnes,Volume.m3.,Littoral.Area..ha.,Elevation..m.,Watershed,Quad,LONG,LAT
0,0,1,1,0,1,0,0,8,537948,78.6,265,Champlain,Ellenburg Depot ,-73.80570278,44.90170556
1,0,1,1,1,0,0,0,5,13851,1.9,411,Champlain,Ellenburg Mtn ,-73.85070278,44.85031944
0,0,0,1,0,0,1,0,2,400222,9.7,386,Champlain,Jericho ,-73.65625278,44.80226111
1,0,1,1,1,0,0,0,7,48526,7.1,517,Champlain,Ellenburg Mtn ,-73.85125556,44.75504167
0,0,0,1,0,1,0,0,6,6188,1,227,Champlain,Dannemora ,-73.695975,44.67726389
1,0,1,1,1,1,0,0,7,44104,2.3,387,Champlain,Redford ,-73.82431111,44.62365556
1,0,1,1,1,0,0,0,5,52337,7.3,359,Champlain,Redford ,-73.77069722,44.59087778
1,0,1,1,0,0,0,0,6,352783,44.1,418,Champlain,Alder Brook ,-73.91347778,44.56338056
1,0,1,1,1,0,0,0,7,20070,2.1,464,Champlain,Alder Brook ,-73.94625556,44.62004444
0,1,0,1,0,1,0,1,10,7399735,49.4,522,Champlain,Loon Lake ,-74.07820556,44.56005
0,0,0,1,0,1,0,0,6,35002,1.2,521,Champlain,Loon Lake ,-74.09209444,44.56810556
0,0,0,1,0,1,0,0,8,318290,15.1,504,Champlain,Loon Lake ,-74.08598333,44.53671667
1,1,0,1,0,1,0,0,7,70716,1.3,518,Champlain,Loon Lake ,-74.10098333,44.52338333
1,0,1,1,1,0,0,0,5,93664,11.9,557,Champlain,Debar Mtn. ,-74.132375,44.52699444
1,0,0,1,0,1,0,0,7,515799,2.5,522,Champlain,Debar Mtn.,-74.12459722,44.51199444
1,0,0,1,0,1,0,0,4,10907,0.5,510,Champlain,Debar Mtn. ,-74.12848611,44.51032778
0,0,0,1,0,1,0,0,10,1214983,29,507,Champlain,Loon Lake ,-74.11431944,44.50588333
0,0,0,1,0,1,1,0,7,1713891,5,509,Champlain,Bloomingdale ,-74.14126389,44.49116389
0,0,0,1,0,1,0,0,4,391157,3.6,515,Champlain,Bloomingdale ,-74.12070833,44.49560556
0,0,0,1,0,1,0,0,7,6535932,70.2,508,Champlain,Bloomingdale ,-74.13431944,44.48866111
0,0,0,1,0,1,1,0,11,2840976,7.7,510,Champlain,Bloomingdale ,-74.17071111,44.48060833
0,0,0,1,0,1,0,0,9,5840244,92.2,446,Champlain,Wilmington ,-73.97403611,44.43615833
1,0,1,1,0,1,0,1,8,4922230,11.4,472,Champlain,Saranac Lake ,-74.06598611,44.36588333
1,1,1,1,1,0,0,0,7,15228,2.6,515,Champlain,Bloomingdale ,-74.02792778,44.37671389
0,0,0,1,0,0,0,0,4,239559,5.7,470,Champlain,Saranac Lake ,-74.12182222,44.32921667
1,1,1,1,0,1,0,0,9,6684667,22.1,506,Champlain,Saranac Lake ,-74.07459722,44.32421667
1,1,0,1,0,0,0,0,8,112306,9.7,478,Champlain,Saranac Lake ,-74.09265278,44.29338333
0,0,0,1,0,1,0,0,6,122995,9.9,482,Champlain,Saranac Lake ,-74.07181944,44.29699444
1,0,0,1,0,1,0,0,8,1465479,4,475,Champlain,Saranac Lake,-74.14737778,44.262275
1,0,0,1,1,0,0,0,4,18224,2.4,488,Champlain,Saranac Lake ,-74.15099167,44.259775
0,0,0,1,0,1,1,0,9,318532,32.8,468,Champlain,Saranac Lake ,-74.17126944,44.28338611
0,0,0,1,0,1,0,1,6,451623,26,468,Champlain,Saranac Lake ,-74.18349167,44.28866389
