"","code","Species"
"1","ST","Salvelinus fontinalis"
"2","BT","Salmo trutta"
"3","RT","Oncorhynchus mykiss"
"4","CLM","Exoglossum maxillingua"
"5","NP","Esox lucius"
"6","CP","Esox niger"
"7","CRP","Cyprinus carpio"
"8","GS","Notemigonus crysoleucas"
"9","CS","Luxilus cornutus"
"10","CC","Semotilus atromaculatus"
"11","WS","Catostomus commersonii"
"12","NRD","Chrosomus eos"
"13","BM","Pimephales notatus"
"14","BB","Ameiurus nebulosus"
"15","PS","Lepomis gibbosus"
"16","RB","Ambloplites rupestris"
"17","YP","Perca flavescens"
"18","LMB","Micropterus salmoides"
"19","SMB","Micropterus dolomieu"
"20","RBS","Lepomis auritus"
"21","BC","Pomoxis nigromaculatus"
"22","BS","Culaea inconstans"
"23","MM","Umbra limi"
"24","BND","Rhinichthys atratulus"
"25","BK","Fundulus diaphanus"
"26","LT","Salvelinus namaycush"
"27","SPL","Salvelinus fontinalis × Salvelinus"
"28","KOK","Oncorhynchus nerka"
"29","LNS","Catostomus catostomus"
"30","LC","Couesius plumbeus"
"31","FF","Semotilus corporalis"
"32","PD","Margariscus margarita"
"33","BG","Lepomis macrochirus"
"34","WE","Sander vitreus"
"35","TM","Esox masquinongy X Esox lucius"
"36","YB","Ameiurus natalis"
"37","RWF","Prosopium cylindraceum"
"38","FHM","Pimephales promelas"
"39","SS","Cottus cognatus"
"40","LND","Rhinichthys cataractae"
"41","LLS","Salmo salar"
"42","ESM","Hybognathus regius"
"43","RS","Osmerus mordax"
"44","BRM","Hybognathus hankinsoni"
"45","LWF","Coregonus clupeaformis"
"46","CIS","Coregonus artedi"
"47","TGT","Salmo trutta × Salvelinus fontinalis"
"48","AE","Anguilla rostrata"
"49","FSD","Chrosomus neogaeus"
"50","CCS","Erimyzon oblongus"
"51","SAL","Salmo salar"
"52","MCS","Notropis volucellus"
"53","BDS","Notropis bifrenatus"
"54","AW","Alosa pseudoharengus"
