,YSAMP,WATER,DATE_SIMP,DATE,SITE,GEAR,GEAR_2,EFFORT,DSAMP,GROUP,ORDER..OR.ABOVE.,FAMILY,GENUS,SPECIES,LIFE.STAGE,VOUCHER,VOUCHER_N,ISOTOPE,ISOTOPE_N,RUN.FOR.ISOTOPE,TOTAL_N
1,,COM,,,CONTROL_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,1
2,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,V,NA,,,,3
3,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,2
4,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,U,NA,,,,2
5,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
6,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,1
7,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,X,NA,,,,50
8,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,A6,NA,,,,6
9,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,Sphaeriida,,,,NA,,NA,,,,3
10,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,A2,NA,,,,3
11,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,L,NA,,,,1
12,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,W,NA,,,,1
13,,COM,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,117
14,,COM,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,3
15,,COM,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,UNIDENTIFIED,,,,NA,,NA,,,,3
16,,COM,,,LG.CC_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,1
17,,COM,,,LG.CC_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,12
18,,COM,,,LG.CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,2
19,,COM,,,LG.CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,A,NA,,,,3
20,,COM,,,LG.CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,A4,NA,,,,6
21,,COM,,,LG.CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,A3,NA,,,,9
22,,COM,,,OUTSIDE_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,1
23,,COM,,,OUTSIDE_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
24,,COM,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,,,,NA,E,NA,,,,4
