YSAMP_N,FISH_N,Sample_ID,AIREY_N,GEN_N,ORDER,FAMILY,GENUS,SPECIES,TAXA,CODE,LENGTH,WEIGHT,OTOLITH.WEIGHT,SIA_PREPPED,X,FIN,BLOOD,GUT,HEAD,OTOLITH,MAXILLA,OPERCULAR,TISS_SAMP,DRY_W,GONAD,DISEASE,PIC,ARCH,ARCH_N,REMOVED,DEAD,MOLT_S,PANEL_N,COMMENTS.x,OLD_YSAMP_N,STATUS,TAG_CLAR,TAG_MIGR,TAG_FRAG,TAG_CLAR_SHRD,TAG_MIGR_SHRD,TAG_FRAG_SHRD,STK_N,ORIGIN,STR,YR_CL,AGE,AGE_TECH,AGED_BY,X.1,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,ANGLER_LOC,PROJECT,COMMENTS.y,SHB_N,REACH_LENGTH,COMMENTS.1,RUN,sample_weight_mg,N2_AMP,N_percent,d15N,CO2_AMP,C_percent,d13C,CO2_Area,d18OVPDB
MWT.WFL.2021.076,CLM.WFL.091221.MWT.002,MA-21-001,1,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,1A,9/11/2021,9/12/2021,10:45,12:10,FALL,12,9,2021,26,25.42,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.913,"4,162",13.99,7.09,"2,028",46.23,-27.74,,NA
MWT.WFL.2021.076,CLM.WFL.091221.MWT.003,MA-21-002,2,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,1A,9/11/2021,9/12/2021,10:45,12:10,FALL,12,9,2021,26,25.42,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.092,"5,136",14.3,7.53,"2,463",47.22,-26.79,,NA
MWT.WFL.2021.076,RBS.WFL.091221.MWT.001,MA-21-003,3,,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,AURITUS,REDBREAST SUNFISH,RBS,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,1A,9/11/2021,9/12/2021,10:45,12:10,FALL,12,9,2021,26,25.42,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.991,"4,656",14.32,9.05,"2,328",49.11,-28.37,,NA
MWT.WFL.2021.017,RBS.WFL.091021.MWT.011,MA-21-004,4,,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,AURITUS,REDBREAST SUNFISH,RBS,167,77.6,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/9/2021,9/10/2021,15:30,12:30,FALL,10,9,2021,17,21,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.002,"4,797",14.62,10.55,"2,253",46.91,-27.14,,NA
MWT.WFL.2021.017,RBS.WFL.091021.MWT.010,MA-21-005,5,,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,AURITUS,REDBREAST SUNFISH,RBS,83,8.8,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/9/2021,9/10/2021,15:30,12:30,FALL,10,9,2021,17,21,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.982,"4,611",14.32,8.96,"2,214",47.05,-27.63,,NA
MWT.WFL.2021.017,RBS.WFL.091021.MWT.009,MA-21-006,6,,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,AURITUS,REDBREAST SUNFISH,RBS,105,17.5,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/9/2021,9/10/2021,15:30,12:30,FALL,10,9,2021,17,21,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.985,"4,640",14.38,7.98,"2,220",46.98,-28.36,,NA
MWT.WFL.2021.021,WS.WFL.091021.MWT.002,MA-21-007,7,,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,COMMERSONII,WHITE SUCKER,WS,121,15.7,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/9/2021,9/10/2021,15:30,13:00,FALL,10,9,2021,21,21.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.032,"4,704",13.84,6.74,"2,341",47.42,-29.25,,NA
MWT.WFL.2021.021,BB.WFL.091021.MWT.007,MA-21-008,8,,SILURIFORMES,ICTALURIDAE,AMEIURUS ,NEBULOSUS,BROWN BULLHEAD,BB,NA,16.3,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/9/2021,9/10/2021,15:30,13:00,FALL,10,9,2021,21,21.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.043,"4,608",13.39,8.2,"2,454",49.23,-29.97,,NA
MWT.WFL.2021.021,WS.WFL.091021.MWT.003,MA-21-009,9,,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,COMMERSONII,WHITE SUCKER,WS,132,23.4,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/9/2021,9/10/2021,15:30,13:00,FALL,10,9,2021,21,21.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.119,"5,031",13.68,8.9,"2,479",46.53,-31.55,,NA
MWT.WFL.2021.021,CLM.WFL.091021.MWT.008,MA-21-010,10,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,90,9.8,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/9/2021,9/10/2021,15:30,13:00,FALL,10,9,2021,21,21.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.12,"5,229",14.21,8.2,"2,508",46.99,-26.49,,NA
