,2000 vs. 2001,,2000 vs. 2019,,2001 vs. 2019,
,p Value,W Statistic,p Value,W Statistic,p Value,W Statistic
Brown Bullhead,0.4578,373.5,<0.0001,720,<0.0001,752
Creek Chub,<0.0001,143,0.0867,341,0.0143,651
Common Shiner,0.0385,303.5,0.0215,313.5,0.8675,468.5
Lake Trout,0.2184,350.5,0.0116,293.5,0.0522,351.5
Central Mudminnow,0.0136,300.5,0.0286,341,0.9268,486
Pumpkinseed,0.0423,289,0.1127,340.5,0.6775,450
Rainbow Smelt,0.0256,333.5,<0.0001,58,<0.0001,74
Round Whitefish,0.0263,350,0.1901,420,0.2138,529
Smallmouth Bass,<0.0001,744,0.5002,402,<0.0001,168
Slimy Scullpin,0.0673,308,<0.0001,133,0.0015,257
Brook Trout,0.0433,291,0.0021,634,<0.0001,794
White Sucker,<0.0001,80,0.0195,292,0.0763,606
