,water,species,count,Dates Collected,,,,,,,
1,Combs Lake,Creek Chub,21,6/23/2021,6/24/2021,08/01/202,8/11/2021,,,,
2,Combs Lake,Northern Redbelly Dace,15,6/23/2021,6/24/2021,08/01/202,8/11/2021,,,,
3,East Lake,Blacknose Dace,1,7/1/2021,,,,,,,
4,Heron Marsh,Brown Bullhead,8,9/24/2021,9/25/2021,9/26/2021,,,,,
5,Heron Marsh,Creek Chub,40,9/24/2021,9/25/2021,9/26/2021,,,,,
6,Heron Marsh,Fathead Minnow,1,9/24/2021,9/25/2021,9/26/2021,,,,,
7,Heron Marsh,Golden Shiner,2,9/24/2021,9/25/2021,9/26/2021,,,,,
9,Heron Marsh,Northern Pearl Dace,20,9/24/2021,9/25/2021,9/26/2021,,,,,
10,Heron Marsh,Northern Redbelly Dace,40,9/24/2021,9/25/2021,9/26/2021,,,,,
11,Heron Marsh,Pumpknseed Sunfish,4,9/24/2021,9/25/2021,9/26/2021,,,,,
12,Long Pond,Brown Bullhead,12,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
13,Long Pond,Banded Killifish,9,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
14,Long Pond,Bluntnose Minnow,21,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
15,Long Pond,Creek Chub,30,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
16,Long Pond,Crayfish,1,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
17,Long Pond,Common Shiner,8,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
18,Long Pond,Fathead Minnow,15,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
19,Long Pond,Golden Shiner,20,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
20,Long Pond,Northern Redbelly Dace,5,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
21,Long Pond,Pumpknseed Sunfish,10,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
22,Long Pond,Brook Trout,1,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
23,Long Pond,White Sucker,3,6/19/2021,6/20/2021,8/20/2021,8/21/2021,8/22/2021,,,
24,Panther Lake,Blacknose Dace,24,6/23/2021,6/24/2021,7/1/2021,8/10/2021,8/11/2021,8/12/2021,10/9/2021,10/9/2021
25,Panther Lake,Creek Chub,20,6/23/2021,6/24/2021,7/1/2021,8/10/2021,8/11/2021,8/12/2021,10/9/2021,10/9/2021
26,Panther Lake,Brook Trout,8,6/23/2021,6/24/2021,7/1/2021,8/10/2021,8/11/2021,8/12/2021,10/9/2021,10/9/2021
27,Tom Peck Pond,Brown Bullhead,9,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
28,Tom Peck Pond,Blacknose Dace,40,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
29,Tom Peck Pond,Creek Chub,43,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
30,Tom Peck Pond,Fathead Minnow,14,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
31,Tom Peck Pond,Golden Shiner,40,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
32,Tom Peck Pond,Northern Redbelly Dace - Finescale Dace Hybrid,6,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
33,Tom Peck Pond,Northern Pearl Dace,2,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
34,Tom Peck Pond,Northern Redbelly Dace,22,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
35,Tom Peck Pond,Brook Trout,2,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
36,Tom Peck Pond,White Sucker,6,6/26/2021,6/27/2021,6/28/2021,8/20/2021,8/20/2021,8/21/2021,8/22/2021,
37,Wolf Lake,Brown Bullhead,9,9/10/2021,9/11/2021,9/12/2021,,,,,
38,Wolf Lake,Blacknose Dace,1,9/10/2021,9/11/2021,9/12/2021,,,,,
39,Wolf Lake,Creek Chub,16,9/10/2021,9/11/2021,9/12/2021,,,,,
40,Wolf Lake,Cutlips Minnow,19,9/10/2021,9/11/2021,9/12/2021,,,,,
41,Wolf Lake,Common Shiner,6,9/10/2021,9/11/2021,9/12/2021,,,,,
42,Wolf Lake,Red Breasted Sunfish ,13,9/10/2021,9/11/2021,9/12/2021,,,,,
43,Wolf Lake,White Sucker,7,9/10/2021,9/11/2021,9/12/2021,,,,,
