Water,Species,Number,Dates Collected,,,,
Heron Marsh,Brown Bullhead,8,9/24/2021 - 9/26/2021,,,,
Heron Marsh,Creek Chub,40,9/24/2021 - 9/26/2021,,,,
Heron Marsh,Fathead Minnow,1,9/24/2021 - 9/26/2021,,,,
Heron Marsh,Golden Shiner,2,9/24/2021 - 9/26/2021,,,,
Heron Marsh,Northern Pearl Dace,20,9/24/2021 - 9/26/2021,,,,
Heron Marsh,Northern Redbelly Dace,40,9/24/2021 - 9/26/2021,,,,
Heron Marsh,Pumpknseed Sunfish,4,9/24/2021 - 9/26/2021,,,,
Long Pond,Brown Bullhead,12,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Banded Killifish,9,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Bluntnose Minnow,21,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Creek Chub,30,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Common Shiner,8,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Fathead Minnow,15,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Golden Shiner,20,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Northern Redbelly Dace,5,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Pumpknseed Sunfish,10,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,Brook Trout,1,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Long Pond,White Sucker,3,6/19/2021 - 6/20/2021,8/20/2021 - 8/22/2021,,,
Panther Lake,Blacknose Dace,24,6/23/2021 - 7/1/2021,8/10/2021 - 8/12/2021,10/9/2021 - 10/10/2021,,
Panther Lake,Creek Chub,20,6/23/2021 - 7/1/2021,8/10/2021 - 8/12/2021,10/9/2021 - 10/10/2021,,
Panther Lake,Brook Trout,8,6/23/2021 - 7/1/2021,8/10/2021 - 8/12/2021,10/9/2021 - 10/10/2021,,
Tom Peck Pond,Brown Bullhead,9,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Blacknose Dace,40,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Creek Chub,40,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Fathead Minnow,14,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Golden Shiner,40,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Northern Pearl Dace,2,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Northern Redbelly Dace,28,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,Brook Trout,2,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Tom Peck Pond,White Sucker,6,6/26/2021 - 6/28/2021,8/20/2021 - 8/22/2021,,,
Wolf Lake,Brown Bullhead,9,9/10/2021 - 9/12/2021,,,,
Wolf Lake,Blacknose Dace,1,9/10/2021 - 9/12/2021,,,,
Wolf Lake,Creek Chub,16,9/10/2021 - 9/12/2021,,,,
Wolf Lake,Cutlips Minnow,19,9/10/2021 - 9/12/2021,,,,
Wolf Lake,Common Shiner,6,9/10/2021 - 9/12/2021,,,,
Wolf Lake,Red Breasted Sunfish ,13,9/10/2021 - 9/12/2021,,,,
Wolf Lake,White Sucker,7,9/10/2021 - 9/12/2021,,,,
