"","cat"
"1","Acrocheilus alutaceus  OR "
"2","Agosia chrysogaster  OR "
"3","Campostoma anomalum  OR "
"4","Campostoma oligolepis  OR "
"5","Campostoma ornatum  OR "
"6","Campostoma pauciradii  OR "
"7","Campostoma pullum  OR "
"8","Campostoma spadiceum  OR "
"9","Chrosomus cumberlandensis  OR "
"10","Chrosomus eos  OR "
"11","Chrosomus erythrogaster  OR "
"12","Chrosomus neogaeus  OR "
"13","Chrosomus oreas  OR "
"14","Chrosomus saylori  OR "
"15","Chrosomus tennesseensis  OR "
"16","Clinostomus elongatus  OR "
"17","Clinostomus funduloides  OR "
"18","Couesius plumbeus  OR "
"19","Dionda nigrotaeniata  OR "
"20","Dionda serena  OR "
"21","Cyprinella analostana  OR "
"22","Cyprinella caerulea  OR "
"23","Cyprinella callisema  OR "
"24","Cyprinella callistia  OR "
"25","Cyprinella callitaenia  OR "
"26","Cyprinella camura  OR "
"27","Cyprinella chloristia  OR "
"28","Cyprinella eurystoma  OR "
"29","Cyprinella formosa  OR "
"30","Cyprinella galactura  OR "
"31","Cyprinella gibbsi  OR "
"32","Cyprinella labrosa  OR "
"33","Cyprinella leedsi  OR "
"34","Cyprinella lepida  OR "
"35","Cyprinella lutrensis  OR "
"36","Cyprinella monacha  OR "
"37","Cyprinella nivea  OR "
"38","Cyprinella proserpina  OR "
"39","Cyprinella pyrrhomelas  OR "
"40","Cyprinella spiloptera  OR "
"41","Cyprinella stigmatura  OR "
"42","Cyprinella trichroistia  OR "
"43","Cyprinella venusta  OR "
"44","Cyprinella whipplei  OR "
"45","Cyprinella xaenura  OR "
"46","Cyprinella zanema  OR "
"47","Dionda argentosa  OR "
"48","Dionda diaboli  OR "
"49","Dionda episcopa  OR "
"50","Eremichthys acros  OR "
"51","Ericymba amplamala  OR "
"52","Erimystax cahni  OR "
"53","Erimystax dissimilis  OR "
"54","Erimystax harryi  OR "
"55","Erimystax insignis  OR "
"56","Erimystax x-punctatus  OR "
"57","Exoglossum laurae  OR "
"58","Exoglossum maxillingua  OR "
"59","Gila pandora  OR "
"60","Gila purpurea  OR "
"61","Gila robusta  OR "
"62","Gila seminuda  OR "
"63","Gila atraria  OR "
"64","Gila coerulea  OR "
"65","Gila crassicauda  OR "
"66","Gila cypha  OR "
"67","Gila ditaenia  OR "
"68","Gila elegans  OR "
"69","Gila intermedia  OR "
"70","Gila nigra  OR "
"71","Gila nigrescens  OR "
"72","Gila orcuttii  OR "
"73","Hemitremia flammea  OR "
"74","Hesperoleucus symmetricus  OR "
"75","Hybognathus amarus  OR "
"76","Hybognathus argyritis  OR "
"77","Hybognathus hankinsoni  OR "
"78","Hybognathus hayi  OR "
"79","Hybognathus nuchalis  OR "
"80","Hybognathus placitus  OR "
"81","Hybognathus regius  OR "
