GEN_N,FISH_N,,,,
1,CLM_WFL_09122021_MWT_002,,47,NRD_HRM_BW2_09262021_MWT_018,
2,CLM_WFL_09122021_MWT_003,,48,NRD_HRM_BW2_09262021_MWT_022,
3,RBS_WFL_09122021_MWT_001,,49,NRD_HRM_BW2_09262021_MWT_020,
4,RBS_WFL_09102021_MWT_011,,50,NRD_HRM_BW2_09262021_MWT_012,
5,RBS_WFL_09102021_MWT_010,,51,NRD_HRM_BW2_09262021_MWT_021,
6,RBS_WFL_09102021_MWT_009,,52,NRD_HRM_BW2_09262021_MWT_013,
7,WS_WFL_09102021_MWT_002,,53,NRD_HRM_BW2_09262021_MWT_016,
8,BB_WFL_09102021_MWT_007,,54,NRD_HRM_BW2_09262021_MWT_019,
9,WS_WFL_09102021_MWT_003,,55,NPD_HRM_FOR_09252021_MWT_004,
10,CLM_WFL_09102021_MWT_008,,56,NPD_HRM_FOR_09252021_MWT_002,
11,BB_WFL_09102021_MWT_006,,57,NPD_HRM_FOR_09252021_MWT_007,
12,WS_WFL_09102021_MWT_004,,58,FSD-NRD_HRM_FOR_09252021_MWT_001,
13,CLM_WFL_09112021_MWT_003,,59,NPD_HRM_FOR_09252021_MWT_005,
14,CC_WFL_09112021_MWT_002,,60,NPD_HRM_FOR_09252021_MWT_006,
15,CC_WFL_09112021_MWT_001,,61,NPD_HRM_FOR_09252021_MWT_001,
16,BND_WFL_09112021_MWT_001,,62,NPD_HRM_FOR_09252021_MWT_003,
17,CLM_WFL_09112021_MWT_005,,63,BB_HRM_SHI_09252021_MWT_003,
18,CLM_WFL_09112021_MWT_004,,64,BB_HRM_SHI_09252021_MWT_002,
19,CLM_WFL_09112021_MWT_007,,65,NRD_HRM_FOR_09252021_MWT_001,
20,CC_WFL_09112021_MWT_004,,66,BB_HRM_BW2_09252021_MWT_004,
21,CLM_WFL_09112021_MWT_006,,67,PS_HRM_BW2_09252021_MWT_001,
22,WS_WFL_09112021_MWT_001,,68,BB_HRM_SHI_09262021_MWT_001,
23,CC_WFL_09112021_MWT_003,,69,BB_HRM_BAR_09252021_MWT_001,
24,CC_WFL_09112021_MWT_005,,70,CC_HRM_BAR_09252021_MWT_002,
25,CLM_WFL_09112021_MWT_008,,71,CC_HRM_BAR_09252021_MWT_004,
26,CLM_WFL_09122021_MWT_001,,72,CC_HRM_BAR_09252021_MWT_003,
27,CC_WFL_09122021_MWT_004,,73,CC_HRM_BAR_09252021_MWT_001,
28,WS_WFL_09122021_MWT_001,,74,RBS_WFL_09112021_MWT_001,
29,CC_WFL_09122021_MWT_001,,75,CS_WFL_09112021_MWT_001,
30,CC_WFL_09122021_MWT_002,,76,BB_WFL_09112021_MWT_001,
31,WS_WFL_09122021_MWT_002,,77,CLM_WFL_09112021_MWT_001,
32,CC_WFL_09122021_MWT_003,,78,CLM_WFL_09112021_MWT_002,
33,CC_HRM_BW2_09262021_MWT_015,,79,CC_LOP_08222021_MWT_006,
34,CC_HRM_BW2_09262021_MWT_017,,80,CC_LOP_08222021_MWT_004,
35,CC_HRM_BW2_09262021_MWT_013,,81,BK_LOP_08222021_MWT_004,
36,CC_HRM_BW2_09262021_MWT_011,,82,BK_LOP_08222021_MWT_001,
37,CC_HRM_BW2_09262021_MWT_020,,83,CC_LOP_08222021_MWT_002,
38,CC_HRM_BW2_09262021_MWT_012,,84,BM_LOP_08222021_MWT_007,
39,CC_HRM_BW2_09262021_MWT_021,,85,BM_LOP_08222021_MWT_005,
40,CC_HRM_BW2_09262021_MWT_016,,86,PS_LOP_08222021_MWT_001,
41,CC_HRM_BW2_09262021_MWT_014,,97,CC_HRM_BAR_09262021_MWT_005,
42,CC_HRM_BW2_09262021_MWT_019,,98,CC_HRM_BAR_09262021_MWT_006,
43,CC_HRM_BW2_09262021_MWT_018,,99,CC_HRM_BAR_09262021_MWT_007,
44,NRD_HRM_BW2_09262021_MWT_015,,100,NRD_HRM_BAR_09262021_MWT_010,
45,NRD_HRM_BW2_09262021_MWT_014,,101,CC_HRM_BAR_09262021_MWT_008,
46,NRD_HRM_BW2_09262021_MWT_017,,102,CC_HRM_BAR_09262021_MWT_009,
